m,p,delta,correct,incorrect
500.0,0.5,0.5,1.0,1.0
10.0,0.5,0.0,0.04,0.04
500.0,0.5,0.49,1.0,1.0
10.0,0.5,0.01,0.16,0.12
500.0,0.5,0.48,1.0,1.0
10.0,0.5,0.02,0.04,0.04
500.0,0.5,0.47000000000000003,1.0,1.0
10.0,0.5,0.03,0.08,0.04
500.0,0.5,0.46,1.0,1.0
10.0,0.5,0.04,0.04,0.04
500.0,0.5,0.45,1.0,1.0
10.0,0.5,0.05,0.08,0.08
500.0,0.5,0.44,1.0,1.0
10.0,0.5,0.06,0.08,0.04
500.0,0.5,0.43,1.0,1.0
10.0,0.5,0.07,0.2,0.12
500.0,0.5,0.42,1.0,1.0
10.0,0.5,0.08,0.04,0.04
500.0,0.5,0.41000000000000003,1.0,1.0
10.0,0.5,0.09,0.04,0.08
500.0,0.5,0.4,1.0,1.0
10.0,0.5,0.1,0.04,0.08
500.0,0.5,0.39,1.0,1.0
10.0,0.5,0.11,0.0,0.08
500.0,0.5,0.38,1.0,1.0
10.0,0.5,0.12,0.0,0.04
500.0,0.5,0.37,1.0,1.0
10.0,0.5,0.13,0.08,0.08
500.0,0.5,0.36,1.0,1.0
10.0,0.5,0.14,0.04,0.0
500.0,0.5,0.35000000000000003,1.0,1.0
10.0,0.5,0.15,0.0,0.04
500.0,0.5,0.34,1.0,1.0
10.0,0.5,0.16,0.08,0.0
500.0,0.5,0.33,1.0,1.0
10.0,0.5,0.17,0.04,0.12
500.0,0.5,0.32,1.0,1.0
10.0,0.5,0.18,0.04,0.0
500.0,0.5,0.31,1.0,1.0
10.0,0.5,0.19,0.08,0.08
500.0,0.5,0.3,1.0,1.0
10.0,0.5,0.2,0.04,0.04
500.0,0.5,0.29,1.0,1.0
10.0,0.5,0.21,0.04,0.04
500.0,0.5,0.28,1.0,1.0
10.0,0.5,0.22,0.04,0.0
500.0,0.5,0.27,1.0,1.0
10.0,0.5,0.23,0.08,0.08
500.0,0.5,0.26,1.0,1.0
10.0,0.5,0.24,0.08,0.08
500.0,0.5,0.25,1.0,1.0
10.0,0.5,0.25,0.04,0.0
500.0,0.5,0.24,0.96,1.0
10.0,0.5,0.26,0.04,0.08
500.0,0.5,0.23,0.92,0.96
10.0,0.5,0.27,0.08,0.04
500.0,0.5,0.22,0.96,0.96
10.0,0.5,0.28,0.04,0.08
500.0,0.5,0.21,0.96,0.96
10.0,0.5,0.29,0.08,0.04
500.0,0.5,0.2,0.88,0.92
10.0,0.5,0.3,0.08,0.04
500.0,0.5,0.19,0.8,0.84
10.0,0.5,0.31,0.08,0.12
500.0,0.5,0.18,0.72,0.76
10.0,0.5,0.32,0.0,0.08
500.0,0.5,0.17,0.84,0.76
10.0,0.5,0.33,0.12,0.08
500.0,0.5,0.16,0.68,0.84
10.0,0.5,0.34,0.04,0.04
500.0,0.5,0.15,0.56,0.56
10.0,0.5,0.35000000000000003,0.04,0.04
500.0,0.5,0.14,0.56,0.48
10.0,0.5,0.36,0.04,0.08
500.0,0.5,0.13,0.52,0.48
10.0,0.5,0.37,0.04,0.16
500.0,0.5,0.12,0.6,0.6
10.0,0.5,0.38,0.04,0.08
500.0,0.5,0.11,0.2,0.2
10.0,0.5,0.39,0.16,0.08
500.0,0.5,0.1,0.32,0.32
10.0,0.5,0.4,0.04,0.08
500.0,0.5,0.09,0.24,0.4
10.0,0.5,0.41000000000000003,0.16,0.16
500.0,0.5,0.08,0.24,0.32
10.0,0.5,0.42,0.04,0.08
500.0,0.5,0.07,0.0,0.08
10.0,0.5,0.43,0.12,0.04
500.0,0.5,0.06,0.04,0.04
10.0,0.5,0.44,0.2,0.12
500.0,0.5,0.05,0.08,0.16
10.0,0.5,0.45,0.0,0.16
500.0,0.5,0.04,0.08,0.08
10.0,0.5,0.46,0.16,0.04
500.0,0.5,0.03,0.04,0.04
10.0,0.5,0.47000000000000003,0.36,0.4
500.0,0.5,0.02,0.08,0.12
10.0,0.5,0.48,0.28,0.2
500.0,0.5,0.01,0.16,0.08
10.0,0.5,0.49,0.16,0.12
500.0,0.5,0.0,0.12,0.04
10.0,0.5,0.5,0.08,0.2
490.0,0.5,0.5,1.0,1.0
20.0,0.5,0.0,0.04,0.04
490.0,0.5,0.49,1.0,1.0
20.0,0.5,0.01,0.08,0.04
490.0,0.5,0.48,1.0,1.0
20.0,0.5,0.02,0.04,0.04
490.0,0.5,0.47000000000000003,1.0,1.0
20.0,0.5,0.03,0.04,0.04
490.0,0.5,0.46,1.0,1.0
20.0,0.5,0.04,0.08,0.04
490.0,0.5,0.45,1.0,1.0
20.0,0.5,0.05,0.08,0.12
490.0,0.5,0.44,1.0,1.0
20.0,0.5,0.06,0.0,0.0
490.0,0.5,0.43,1.0,1.0
20.0,0.5,0.07,0.0,0.04
490.0,0.5,0.42,1.0,1.0
20.0,0.5,0.08,0.08,0.08
490.0,0.5,0.41000000000000003,1.0,1.0
20.0,0.5,0.09,0.0,0.04
490.0,0.5,0.4,1.0,1.0
20.0,0.5,0.1,0.12,0.04
490.0,0.5,0.39,1.0,1.0
20.0,0.5,0.11,0.12,0.08
490.0,0.5,0.38,1.0,1.0
20.0,0.5,0.12,0.12,0.04
490.0,0.5,0.37,1.0,1.0
20.0,0.5,0.13,0.0,0.04
490.0,0.5,0.36,1.0,1.0
20.0,0.5,0.14,0.0,0.04
490.0,0.5,0.35000000000000003,1.0,1.0
20.0,0.5,0.15,0.2,0.12
490.0,0.5,0.34,1.0,1.0
20.0,0.5,0.16,0.04,0.04
490.0,0.5,0.33,1.0,1.0
20.0,0.5,0.17,0.08,0.08
490.0,0.5,0.32,1.0,1.0
20.0,0.5,0.18,0.16,0.12
490.0,0.5,0.31,1.0,1.0
20.0,0.5,0.19,0.04,0.04
490.0,0.5,0.3,1.0,1.0
20.0,0.5,0.2,0.12,0.08
490.0,0.5,0.29,0.96,1.0
20.0,0.5,0.21,0.0,0.04
490.0,0.5,0.28,1.0,1.0
20.0,0.5,0.22,0.08,0.0
490.0,0.5,0.27,1.0,1.0
20.0,0.5,0.23,0.12,0.12
490.0,0.5,0.26,1.0,1.0
20.0,0.5,0.24,0.04,0.08
490.0,0.5,0.25,0.96,1.0
20.0,0.5,0.25,0.12,0.08
490.0,0.5,0.24,0.96,0.96
20.0,0.5,0.26,0.2,0.12
490.0,0.5,0.23,0.96,1.0
20.0,0.5,0.27,0.04,0.16
490.0,0.5,0.22,0.96,0.96
20.0,0.5,0.28,0.32,0.2
490.0,0.5,0.21,0.92,1.0
20.0,0.5,0.29,0.04,0.04
490.0,0.5,0.2,0.88,0.96
20.0,0.5,0.3,0.12,0.16
490.0,0.5,0.19,0.8,0.92
20.0,0.5,0.31,0.04,0.04
490.0,0.5,0.18,0.72,0.84
20.0,0.5,0.32,0.12,0.12
490.0,0.5,0.17,0.76,0.8
20.0,0.5,0.33,0.16,0.2
490.0,0.5,0.16,0.68,0.8
20.0,0.5,0.34,0.04,0.12
490.0,0.5,0.15,0.56,0.64
20.0,0.5,0.35000000000000003,0.12,0.16
490.0,0.5,0.14,0.64,0.68
20.0,0.5,0.36,0.16,0.12
490.0,0.5,0.13,0.48,0.4
20.0,0.5,0.37,0.16,0.16
490.0,0.5,0.12,0.32,0.36
20.0,0.5,0.38,0.16,0.2
490.0,0.5,0.11,0.2,0.24
20.0,0.5,0.39,0.2,0.16
490.0,0.5,0.1,0.28,0.36
20.0,0.5,0.4,0.08,0.24
490.0,0.5,0.09,0.24,0.28
20.0,0.5,0.41000000000000003,0.16,0.2
490.0,0.5,0.08,0.0,0.08
20.0,0.5,0.42,0.28,0.28
490.0,0.5,0.07,0.12,0.12
20.0,0.5,0.43,0.16,0.08
490.0,0.5,0.06,0.08,0.08
20.0,0.5,0.44,0.24,0.28
490.0,0.5,0.05,0.16,0.16
20.0,0.5,0.45,0.16,0.16
490.0,0.5,0.04,0.04,0.04
20.0,0.5,0.46,0.24,0.28
490.0,0.5,0.03,0.12,0.04
20.0,0.5,0.47000000000000003,0.28,0.36
490.0,0.5,0.02,0.04,0.04
20.0,0.5,0.48,0.28,0.4
490.0,0.5,0.01,0.04,0.12
20.0,0.5,0.49,0.2,0.28
490.0,0.5,0.0,0.04,0.12
20.0,0.5,0.5,0.28,0.32
480.0,0.5,0.5,1.0,1.0
30.0,0.5,0.0,0.08,0.08
480.0,0.5,0.49,1.0,1.0
30.0,0.5,0.01,0.08,0.08
480.0,0.5,0.48,1.0,1.0
30.0,0.5,0.02,0.0,0.08
480.0,0.5,0.47000000000000003,1.0,1.0
30.0,0.5,0.03,0.04,0.12
480.0,0.5,0.46,1.0,1.0
30.0,0.5,0.04,0.04,0.2
480.0,0.5,0.45,1.0,1.0
30.0,0.5,0.05,0.08,0.0
480.0,0.5,0.44,1.0,1.0
30.0,0.5,0.06,0.16,0.04
480.0,0.5,0.43,1.0,1.0
30.0,0.5,0.07,0.04,0.12
480.0,0.5,0.42,1.0,1.0
30.0,0.5,0.08,0.04,0.04
480.0,0.5,0.41000000000000003,1.0,1.0
30.0,0.5,0.09,0.04,0.0
480.0,0.5,0.4,1.0,1.0
30.0,0.5,0.1,0.16,0.04
480.0,0.5,0.39,1.0,1.0
30.0,0.5,0.11,0.04,0.08
480.0,0.5,0.38,1.0,1.0
30.0,0.5,0.12,0.08,0.08
480.0,0.5,0.37,1.0,1.0
30.0,0.5,0.13,0.0,0.0
480.0,0.5,0.36,1.0,1.0
30.0,0.5,0.14,0.04,0.04
480.0,0.5,0.35000000000000003,1.0,1.0
30.0,0.5,0.15,0.12,0.12
480.0,0.5,0.34,1.0,1.0
30.0,0.5,0.16,0.12,0.12
480.0,0.5,0.33,1.0,1.0
30.0,0.5,0.17,0.0,0.0
480.0,0.5,0.32,1.0,1.0
30.0,0.5,0.18,0.16,0.08
480.0,0.5,0.31,1.0,1.0
30.0,0.5,0.19,0.04,0.08
480.0,0.5,0.3,1.0,1.0
30.0,0.5,0.2,0.04,0.04
480.0,0.5,0.29,1.0,1.0
30.0,0.5,0.21,0.04,0.12
480.0,0.5,0.28,1.0,1.0
30.0,0.5,0.22,0.08,0.16
480.0,0.5,0.27,1.0,1.0
30.0,0.5,0.23,0.04,0.08
480.0,0.5,0.26,1.0,1.0
30.0,0.5,0.24,0.08,0.12
480.0,0.5,0.25,1.0,1.0
30.0,0.5,0.25,0.0,0.08
480.0,0.5,0.24,1.0,1.0
30.0,0.5,0.26,0.12,0.24
480.0,0.5,0.23,0.92,1.0
30.0,0.5,0.27,0.04,0.12
480.0,0.5,0.22,1.0,1.0
30.0,0.5,0.28,0.2,0.24
480.0,0.5,0.21,0.92,0.88
30.0,0.5,0.29,0.08,0.04
480.0,0.5,0.2,0.96,0.96
30.0,0.5,0.3,0.32,0.2
480.0,0.5,0.19,0.84,0.92
30.0,0.5,0.31,0.12,0.04
480.0,0.5,0.18,0.8,0.92
30.0,0.5,0.32,0.16,0.12
480.0,0.5,0.17,0.64,0.6
30.0,0.5,0.33,0.24,0.16
480.0,0.5,0.16,0.76,0.76
30.0,0.5,0.34,0.12,0.16
480.0,0.5,0.15,0.64,0.68
30.0,0.5,0.35000000000000003,0.16,0.2
480.0,0.5,0.14,0.48,0.48
30.0,0.5,0.36,0.36,0.36
480.0,0.5,0.13,0.56,0.6
30.0,0.5,0.37,0.36,0.32
480.0,0.5,0.12,0.32,0.36
30.0,0.5,0.38,0.24,0.28
480.0,0.5,0.11,0.36,0.32
30.0,0.5,0.39,0.28,0.32
480.0,0.5,0.1,0.08,0.12
30.0,0.5,0.4,0.2,0.32
480.0,0.5,0.09,0.16,0.2
30.0,0.5,0.41000000000000003,0.08,0.16
480.0,0.5,0.08,0.12,0.16
30.0,0.5,0.42,0.16,0.16
480.0,0.5,0.07,0.08,0.08
30.0,0.5,0.43,0.2,0.24
480.0,0.5,0.06,0.08,0.12
30.0,0.5,0.44,0.36,0.36
480.0,0.5,0.05,0.0,0.04
30.0,0.5,0.45,0.28,0.4
480.0,0.5,0.04,0.16,0.12
30.0,0.5,0.46,0.32,0.4
480.0,0.5,0.03,0.0,0.12
30.0,0.5,0.47000000000000003,0.24,0.16
480.0,0.5,0.02,0.04,0.08
30.0,0.5,0.48,0.24,0.4
480.0,0.5,0.01,0.0,0.04
30.0,0.5,0.49,0.48,0.52
480.0,0.5,0.0,0.04,0.0
30.0,0.5,0.5,0.4,0.44
470.0,0.5,0.5,1.0,1.0
40.0,0.5,0.0,0.08,0.04
470.0,0.5,0.49,1.0,1.0
40.0,0.5,0.01,0.04,0.04
470.0,0.5,0.48,1.0,1.0
40.0,0.5,0.02,0.08,0.12
470.0,0.5,0.47000000000000003,1.0,1.0
40.0,0.5,0.03,0.04,0.12
470.0,0.5,0.46,1.0,1.0
40.0,0.5,0.04,0.04,0.08
470.0,0.5,0.45,1.0,1.0
40.0,0.5,0.05,0.16,0.12
470.0,0.5,0.44,1.0,1.0
40.0,0.5,0.06,0.04,0.0
470.0,0.5,0.43,1.0,1.0
40.0,0.5,0.07,0.04,0.08
470.0,0.5,0.42,1.0,1.0
40.0,0.5,0.08,0.08,0.08
470.0,0.5,0.41000000000000003,1.0,1.0
40.0,0.5,0.09,0.0,0.12
470.0,0.5,0.4,1.0,1.0
40.0,0.5,0.1,0.08,0.16
470.0,0.5,0.39,1.0,1.0
40.0,0.5,0.11,0.0,0.0
470.0,0.5,0.38,1.0,1.0
40.0,0.5,0.12,0.0,0.0
470.0,0.5,0.37,1.0,1.0
40.0,0.5,0.13,0.16,0.12
470.0,0.5,0.36,1.0,1.0
40.0,0.5,0.14,0.0,0.12
470.0,0.5,0.35000000000000003,1.0,1.0
40.0,0.5,0.15,0.2,0.08
470.0,0.5,0.34,1.0,1.0
40.0,0.5,0.16,0.04,0.12
470.0,0.5,0.33,1.0,1.0
40.0,0.5,0.17,0.04,0.08
470.0,0.5,0.32,1.0,1.0
40.0,0.5,0.18,0.12,0.12
470.0,0.5,0.31,1.0,1.0
40.0,0.5,0.19,0.04,0.04
470.0,0.5,0.3,1.0,1.0
40.0,0.5,0.2,0.08,0.16
470.0,0.5,0.29,1.0,1.0
40.0,0.5,0.21,0.16,0.12
470.0,0.5,0.28,1.0,1.0
40.0,0.5,0.22,0.24,0.16
470.0,0.5,0.27,1.0,1.0
40.0,0.5,0.23,0.2,0.12
470.0,0.5,0.26,1.0,1.0
40.0,0.5,0.24,0.08,0.12
470.0,0.5,0.25,1.0,1.0
40.0,0.5,0.25,0.08,0.08
470.0,0.5,0.24,1.0,1.0
40.0,0.5,0.26,0.2,0.2
470.0,0.5,0.23,0.96,0.92
40.0,0.5,0.27,0.0,0.04
470.0,0.5,0.22,0.92,0.96
40.0,0.5,0.28,0.08,0.28
470.0,0.5,0.21,0.88,0.92
40.0,0.5,0.29,0.16,0.16
470.0,0.5,0.2,0.84,0.92
40.0,0.5,0.3,0.12,0.08
470.0,0.5,0.19,0.8,0.88
40.0,0.5,0.31,0.2,0.16
470.0,0.5,0.18,0.88,0.8
40.0,0.5,0.32,0.12,0.24
470.0,0.5,0.17,0.64,0.68
40.0,0.5,0.33,0.16,0.2
470.0,0.5,0.16,0.76,0.84
40.0,0.5,0.34,0.12,0.04
470.0,0.5,0.15,0.64,0.64
40.0,0.5,0.35000000000000003,0.24,0.32
470.0,0.5,0.14,0.48,0.64
40.0,0.5,0.36,0.32,0.24
470.0,0.5,0.13,0.4,0.36
40.0,0.5,0.37,0.28,0.36
470.0,0.5,0.12,0.52,0.48
40.0,0.5,0.38,0.28,0.36
470.0,0.5,0.11,0.2,0.32
40.0,0.5,0.39,0.28,0.24
470.0,0.5,0.1,0.16,0.24
40.0,0.5,0.4,0.16,0.28
470.0,0.5,0.09,0.12,0.16
40.0,0.5,0.41000000000000003,0.24,0.32
470.0,0.5,0.08,0.08,0.04
40.0,0.5,0.42,0.44,0.28
470.0,0.5,0.07,0.0,0.08
40.0,0.5,0.43,0.32,0.44
470.0,0.5,0.06,0.08,0.16
40.0,0.5,0.44,0.2,0.36
470.0,0.5,0.05,0.08,0.08
40.0,0.5,0.45,0.2,0.32
470.0,0.5,0.04,0.04,0.04
40.0,0.5,0.46,0.44,0.32
470.0,0.5,0.03,0.04,0.2
40.0,0.5,0.47000000000000003,0.4,0.44
470.0,0.5,0.02,0.0,0.0
40.0,0.5,0.48,0.44,0.4
470.0,0.5,0.01,0.04,0.08
40.0,0.5,0.49,0.56,0.76
470.0,0.5,0.0,0.12,0.16
40.0,0.5,0.5,0.56,0.68
460.0,0.5,0.5,1.0,1.0
50.0,0.5,0.0,0.0,0.08
460.0,0.5,0.49,1.0,1.0
50.0,0.5,0.01,0.04,0.04
460.0,0.5,0.48,1.0,1.0
50.0,0.5,0.02,0.08,0.08
460.0,0.5,0.47000000000000003,1.0,1.0
50.0,0.5,0.03,0.04,0.12
460.0,0.5,0.46,1.0,1.0
50.0,0.5,0.04,0.04,0.0
460.0,0.5,0.45,1.0,1.0
50.0,0.5,0.05,0.04,0.12
460.0,0.5,0.44,1.0,1.0
50.0,0.5,0.06,0.0,0.0
460.0,0.5,0.43,1.0,1.0
50.0,0.5,0.07,0.04,0.04
460.0,0.5,0.42,1.0,1.0
50.0,0.5,0.08,0.04,0.04
460.0,0.5,0.41000000000000003,1.0,1.0
50.0,0.5,0.09,0.12,0.12
460.0,0.5,0.4,1.0,1.0
50.0,0.5,0.1,0.08,0.12
460.0,0.5,0.39,1.0,1.0
50.0,0.5,0.11,0.04,0.08
460.0,0.5,0.38,1.0,1.0
50.0,0.5,0.12,0.08,0.04
460.0,0.5,0.37,1.0,1.0
50.0,0.5,0.13,0.04,0.08
460.0,0.5,0.36,1.0,1.0
50.0,0.5,0.14,0.0,0.0
460.0,0.5,0.35000000000000003,1.0,1.0
50.0,0.5,0.15,0.12,0.24
460.0,0.5,0.34,1.0,1.0
50.0,0.5,0.16,0.04,0.04
460.0,0.5,0.33,1.0,1.0
50.0,0.5,0.17,0.16,0.16
460.0,0.5,0.32,1.0,1.0
50.0,0.5,0.18,0.08,0.04
460.0,0.5,0.31,1.0,1.0
50.0,0.5,0.19,0.04,0.04
460.0,0.5,0.3,1.0,1.0
50.0,0.5,0.2,0.08,0.0
460.0,0.5,0.29,1.0,1.0
50.0,0.5,0.21,0.0,0.04
460.0,0.5,0.28,0.96,1.0
50.0,0.5,0.22,0.16,0.04
460.0,0.5,0.27,1.0,1.0
50.0,0.5,0.23,0.28,0.28
460.0,0.5,0.26,1.0,1.0
50.0,0.5,0.24,0.08,0.08
460.0,0.5,0.25,1.0,1.0
50.0,0.5,0.25,0.12,0.32
460.0,0.5,0.24,1.0,1.0
50.0,0.5,0.26,0.16,0.2
460.0,0.5,0.23,1.0,1.0
50.0,0.5,0.27,0.08,0.08
460.0,0.5,0.22,0.92,1.0
50.0,0.5,0.28,0.16,0.12
460.0,0.5,0.21,0.92,0.92
50.0,0.5,0.29,0.16,0.4
460.0,0.5,0.2,0.88,0.92
50.0,0.5,0.3,0.24,0.24
460.0,0.5,0.19,0.84,0.92
50.0,0.5,0.31,0.08,0.16
460.0,0.5,0.18,0.72,0.72
50.0,0.5,0.32,0.32,0.36
460.0,0.5,0.17,0.68,0.76
50.0,0.5,0.33,0.36,0.32
460.0,0.5,0.16,0.6,0.68
50.0,0.5,0.34,0.32,0.44
460.0,0.5,0.15,0.56,0.6
50.0,0.5,0.35000000000000003,0.48,0.28
460.0,0.5,0.14,0.44,0.36
50.0,0.5,0.36,0.28,0.44
460.0,0.5,0.13,0.48,0.52
50.0,0.5,0.37,0.32,0.4
460.0,0.5,0.12,0.4,0.48
50.0,0.5,0.38,0.32,0.36
460.0,0.5,0.11,0.24,0.2
50.0,0.5,0.39,0.36,0.44
460.0,0.5,0.1,0.2,0.24
50.0,0.5,0.4,0.36,0.52
460.0,0.5,0.09,0.16,0.24
50.0,0.5,0.41000000000000003,0.36,0.44
460.0,0.5,0.08,0.2,0.2
50.0,0.5,0.42,0.52,0.56
460.0,0.5,0.07,0.04,0.04
50.0,0.5,0.43,0.6,0.64
460.0,0.5,0.06,0.08,0.12
50.0,0.5,0.44,0.44,0.68
460.0,0.5,0.05,0.08,0.08
50.0,0.5,0.45,0.6,0.56
460.0,0.5,0.04,0.04,0.04
50.0,0.5,0.46,0.44,0.52
460.0,0.5,0.03,0.04,0.12
50.0,0.5,0.47000000000000003,0.64,0.68
460.0,0.5,0.02,0.12,0.04
50.0,0.5,0.48,0.48,0.56
460.0,0.5,0.01,0.04,0.04
50.0,0.5,0.49,0.64,0.72
460.0,0.5,0.0,0.08,0.04
50.0,0.5,0.5,0.4,0.64
450.0,0.5,0.5,1.0,1.0
60.0,0.5,0.0,0.08,0.04
450.0,0.5,0.49,1.0,1.0
60.0,0.5,0.01,0.04,0.08
450.0,0.5,0.48,1.0,1.0
60.0,0.5,0.02,0.04,0.04
450.0,0.5,0.47000000000000003,1.0,1.0
60.0,0.5,0.03,0.04,0.08
450.0,0.5,0.46,1.0,1.0
60.0,0.5,0.04,0.12,0.12
450.0,0.5,0.45,1.0,1.0
60.0,0.5,0.05,0.04,0.12
450.0,0.5,0.44,1.0,1.0
60.0,0.5,0.06,0.12,0.12
450.0,0.5,0.43,1.0,1.0
60.0,0.5,0.07,0.04,0.12
450.0,0.5,0.42,1.0,1.0
60.0,0.5,0.08,0.08,0.0
450.0,0.5,0.41000000000000003,1.0,1.0
60.0,0.5,0.09,0.0,0.04
450.0,0.5,0.4,1.0,1.0
60.0,0.5,0.1,0.0,0.0
450.0,0.5,0.39,1.0,1.0
60.0,0.5,0.11,0.08,0.16
450.0,0.5,0.38,1.0,1.0
60.0,0.5,0.12,0.08,0.12
450.0,0.5,0.37,1.0,1.0
60.0,0.5,0.13,0.04,0.08
450.0,0.5,0.36,1.0,1.0
60.0,0.5,0.14,0.16,0.04
450.0,0.5,0.35000000000000003,1.0,1.0
60.0,0.5,0.15,0.08,0.12
450.0,0.5,0.34,1.0,1.0
60.0,0.5,0.16,0.08,0.2
450.0,0.5,0.33,1.0,1.0
60.0,0.5,0.17,0.08,0.08
450.0,0.5,0.32,1.0,1.0
60.0,0.5,0.18,0.2,0.12
450.0,0.5,0.31,1.0,1.0
60.0,0.5,0.19,0.08,0.12
450.0,0.5,0.3,1.0,1.0
60.0,0.5,0.2,0.16,0.2
450.0,0.5,0.29,1.0,1.0
60.0,0.5,0.21,0.08,0.08
450.0,0.5,0.28,0.96,0.96
60.0,0.5,0.22,0.16,0.16
450.0,0.5,0.27,1.0,1.0
60.0,0.5,0.23,0.16,0.24
450.0,0.5,0.26,1.0,1.0
60.0,0.5,0.24,0.2,0.2
450.0,0.5,0.25,1.0,1.0
60.0,0.5,0.25,0.2,0.2
450.0,0.5,0.24,0.96,1.0
60.0,0.5,0.26,0.2,0.2
450.0,0.5,0.23,1.0,1.0
60.0,0.5,0.27,0.2,0.32
450.0,0.5,0.22,0.92,0.92
60.0,0.5,0.28,0.12,0.16
450.0,0.5,0.21,1.0,1.0
60.0,0.5,0.29,0.2,0.32
450.0,0.5,0.2,0.76,0.88
60.0,0.5,0.3,0.2,0.36
450.0,0.5,0.19,0.64,0.8
60.0,0.5,0.31,0.2,0.2
450.0,0.5,0.18,0.68,0.8
60.0,0.5,0.32,0.52,0.52
450.0,0.5,0.17,0.68,0.8
60.0,0.5,0.33,0.36,0.4
450.0,0.5,0.16,0.68,0.8
60.0,0.5,0.34,0.36,0.36
450.0,0.5,0.15,0.4,0.36
60.0,0.5,0.35000000000000003,0.36,0.36
450.0,0.5,0.14,0.48,0.52
60.0,0.5,0.36,0.36,0.48
450.0,0.5,0.13,0.48,0.48
60.0,0.5,0.37,0.36,0.4
450.0,0.5,0.12,0.24,0.36
60.0,0.5,0.38,0.48,0.36
450.0,0.5,0.11,0.4,0.32
60.0,0.5,0.39,0.4,0.48
450.0,0.5,0.1,0.24,0.24
60.0,0.5,0.4,0.52,0.76
450.0,0.5,0.09,0.28,0.32
60.0,0.5,0.41000000000000003,0.52,0.56
450.0,0.5,0.08,0.12,0.12
60.0,0.5,0.42,0.52,0.64
450.0,0.5,0.07,0.04,0.12
60.0,0.5,0.43,0.64,0.64
450.0,0.5,0.06,0.12,0.08
60.0,0.5,0.44,0.6,0.64
450.0,0.5,0.05,0.08,0.24
60.0,0.5,0.45,0.56,0.6
450.0,0.5,0.04,0.12,0.16
60.0,0.5,0.46,0.72,0.76
450.0,0.5,0.03,0.04,0.04
60.0,0.5,0.47000000000000003,0.84,0.8
450.0,0.5,0.02,0.08,0.0
60.0,0.5,0.48,0.76,0.88
450.0,0.5,0.01,0.04,0.04
60.0,0.5,0.49,0.8,0.8
450.0,0.5,0.0,0.12,0.04
60.0,0.5,0.5,0.8,0.92
440.0,0.5,0.5,1.0,1.0
70.0,0.5,0.0,0.04,0.04
440.0,0.5,0.49,1.0,1.0
70.0,0.5,0.01,0.0,0.04
440.0,0.5,0.48,1.0,1.0
70.0,0.5,0.02,0.0,0.0
440.0,0.5,0.47000000000000003,1.0,1.0
70.0,0.5,0.03,0.0,0.04
440.0,0.5,0.46,1.0,1.0
70.0,0.5,0.04,0.04,0.04
440.0,0.5,0.45,1.0,1.0
70.0,0.5,0.05,0.08,0.04
440.0,0.5,0.44,1.0,1.0
70.0,0.5,0.06,0.04,0.0
440.0,0.5,0.43,1.0,1.0
70.0,0.5,0.07,0.16,0.16
440.0,0.5,0.42,1.0,1.0
70.0,0.5,0.08,0.08,0.04
440.0,0.5,0.41000000000000003,1.0,1.0
70.0,0.5,0.09,0.04,0.08
440.0,0.5,0.4,1.0,1.0
70.0,0.5,0.1,0.0,0.12
440.0,0.5,0.39,1.0,1.0
70.0,0.5,0.11,0.16,0.12
440.0,0.5,0.38,1.0,1.0
70.0,0.5,0.12,0.2,0.12
440.0,0.5,0.37,1.0,1.0
70.0,0.5,0.13,0.0,0.08
440.0,0.5,0.36,1.0,1.0
70.0,0.5,0.14,0.04,0.08
440.0,0.5,0.35000000000000003,1.0,1.0
