m,n,effect_size,angle,model,row_wise_same,omni_same,mase_same,row_wise_diff,omni_diff,mase_diff
40,40,0.0,0,generate_graphs_4,0.03250000000000001,0.05450000000000001,0.06150000000000001,0.042,0.05650000000000001,0.05000000000000001
40,40,0.0,60,generate_graphs_4,0.030500000000000006,0.04700000000000001,0.05450000000000001,0.0405,0.05800000000000001,0.041
80,40,0.0,0,generate_graphs_4,0.03300000000000001,0.053000000000000005,0.04700000000000001,0.03300000000000001,0.042,0.0495
80,40,0.0,60,generate_graphs_4,0.044500000000000005,0.04700000000000001,0.039500000000000014,0.043000000000000003,0.03300000000000001,0.03850000000000001
120,40,0.0,0,generate_graphs_4,0.028000000000000004,0.043500000000000004,0.05200000000000001,0.037500000000000006,0.05450000000000001,0.053500000000000006
120,40,0.0,60,generate_graphs_4,0.030500000000000006,0.046000000000000006,0.03750000000000001,0.0395,0.051000000000000004,0.05750000000000001
160,40,0.0,0,generate_graphs_4,0.031,0.043000000000000003,0.06100000000000001,0.039,0.0465,0.069
160,40,0.0,60,generate_graphs_4,0.041,0.051000000000000004,0.08100000000000002,0.043500000000000004,0.04350000000000002,0.020000000000000004
200,40,0.0,0,generate_graphs_4,0.024,0.0395,0.03250000000000001,0.032,0.0415,0.03350000000000001
200,40,0.0,60,generate_graphs_4,0.029500000000000005,0.052000000000000005,0.04000000000000001,0.029000000000000005,0.045000000000000005,0.0405
40,80,0.0,0,generate_graphs_4,0.03725,0.05625,0.06375,0.0385,0.05075,0.06300000000000001
40,80,0.0,60,generate_graphs_4,0.03475,0.04825,0.0205,0.031999999999999994,0.053500000000000006,0.04975
80,80,0.0,0,generate_graphs_4,0.0295,0.052500000000000005,0.03625,0.03275,0.04875,0.03925
80,80,0.0,60,generate_graphs_4,0.03200000000000001,0.052750000000000005,0.04425,0.03175,0.043500000000000004,0.018
120,80,0.0,0,generate_graphs_4,0.0345,0.04775,0.028500000000000004,0.030500000000000006,0.04825,0.03075
120,80,0.0,60,generate_graphs_4,0.028750000000000005,0.051000000000000004,0.0475,0.03425,0.0475,0.041
160,80,0.0,0,generate_graphs_4,0.03125,0.0455,0.05500000000000001,0.03075,0.046,0.05475000000000001
160,80,0.0,60,generate_graphs_4,0.028749999999999998,0.047,0.05,0.03125,0.0495,0.07
200,80,0.0,0,generate_graphs_4,0.029500000000000005,0.047,0.028000000000000004,0.028000000000000004,0.04775,0.028000000000000004
200,80,0.0,60,generate_graphs_4,0.03375,0.049,0.01,0.0355,0.04575,0.03
40,120,0.0,0,generate_graphs_4,0.03599999999999999,0.04983333333333333,0.05283333333333333,0.034833333333333334,0.05533333333333333,0.052999999999999985
40,120,0.0,60,generate_graphs_4,0.03383333333333333,0.053,0.0325,0.034499999999999996,0.05833333333333333,0.04999999999999998
80,120,0.0,0,generate_graphs_4,0.025166666666666667,0.04583333333333333,0.055,0.03316666666666667,0.05016666666666667,0.055833333333333325
80,120,0.0,60,generate_graphs_4,0.029500000000000005,0.051,0.04999999999999998,0.03383333333333333,0.046000000000000006,0.015333333333333336
120,120,0.0,0,generate_graphs_4,0.030500000000000006,0.052,0.04283333333333334,0.029500000000000005,0.043166666666666666,0.04
120,120,0.0,60,generate_graphs_4,0.028333333333333335,0.0535,0.07000000000000002,0.029000000000000005,0.04766666666666667,0.030000000000000002
160,120,0.0,0,generate_graphs_4,0.026500000000000003,0.04983333333333332,0.034499999999999996,0.03116666666666667,0.04966666666666666,0.03933333333333333
160,120,0.0,60,generate_graphs_4,0.029833333333333337,0.049999999999999996,0.020000000000000004,0.030000000000000002,0.04533333333333333,0.060166666666666674
200,120,0.0,0,generate_graphs_4,0.031000000000000007,0.048999999999999995,0.06933333333333333,0.029,0.04783333333333332,0.07266666666666666
200,120,0.0,60,generate_graphs_4,0.030833333333333338,0.0495,0.04000000000000001,0.02916666666666667,0.05000000000000001,0.04416666666666666
40,160,0.0,0,generate_graphs_4,0.030375000000000006,0.052125,0.0355,0.03250000000000001,0.0495,0.03725
40,160,0.0,60,generate_graphs_4,0.033499999999999995,0.052500000000000005,0.041499999999999995,0.033125,0.050375,0.07925
80,160,0.0,0,generate_graphs_4,0.0295,0.051875000000000004,0.09062499999999998,0.030125000000000002,0.053125,0.09362499999999999
80,160,0.0,60,generate_graphs_4,0.028000000000000004,0.0475,0.020749999999999998,0.031125000000000003,0.050249999999999996,0.061625000000000006
120,160,0.0,0,generate_graphs_4,0.03325,0.048,0.028875,0.032625,0.047375,0.031125000000000003
120,160,0.0,60,generate_graphs_4,0.027625,0.049624999999999996,0.039999999999999994,0.031125000000000003,0.048375,0.039999999999999994
160,160,0.0,0,generate_graphs_4,0.027125,0.051000000000000004,0.06625,0.027500000000000004,0.049125,0.06275000000000001
160,160,0.0,60,generate_graphs_4,0.023875,0.04975,0.039999999999999994,0.031625,0.04862500000000001,0.07000000000000002
200,160,0.0,0,generate_graphs_4,0.030125000000000002,0.049124999999999995,0.023625,0.027250000000000003,0.052875000000000005,0.022375
200,160,0.0,60,generate_graphs_4,0.027625,0.052000000000000005,0.039999999999999994,0.029875000000000002,0.04712499999999999,0.07000000000000002
40,200,0.0,0,generate_graphs_4,0.028099999999999997,0.054299999999999994,0.0467,0.032499999999999994,0.0535,0.04630000000000001
40,200,0.0,60,generate_graphs_4,0.035,0.0515,0.06770000000000004,0.032999999999999995,0.0512,0.09179999999999999
80,200,0.0,0,generate_graphs_4,0.029399999999999996,0.05050000000000001,0.0451,0.0272,0.05390000000000002,0.0438
80,200,0.0,60,generate_graphs_4,0.029400000000000003,0.0507,0.059000000000000004,0.031199999999999995,0.0478,0.039999999999999994
120,200,0.0,0,generate_graphs_4,0.0275,0.05,0.05550000000000001,0.02889999999999999,0.04869999999999999,0.0553
120,200,0.0,60,generate_graphs_4,0.030799999999999998,0.0471,0.03,0.030100000000000002,0.0479,0.06
160,200,0.0,0,generate_graphs_4,0.0291,0.049100000000000005,0.0604,0.0281,0.049,0.06319999999999999
160,200,0.0,60,generate_graphs_4,0.028899999999999995,0.0525,0.04999999999999999,0.027899999999999994,0.051100000000000007,0.009999999999999998
200,200,0.0,0,generate_graphs_4,0.029899999999999993,0.0483,0.060200000000000024,0.025299999999999993,0.050600000000000006,0.0623
200,200,0.0,60,generate_graphs_4,0.0291,0.047499999999999994,0.08779999999999999,0.0264,0.04939999999999999,0.039999999999999994
40,40,0.1,0,generate_graphs_4,0.044500000000000005,0.04650000000000001,0.07000000000000002,0.05400000000000001,0.06150000000000001,0.07950000000000002
40,40,0.1,60,generate_graphs_4,0.039,0.051500000000000004,0.13700000000000004,0.05800000000000001,0.2065,0.9879999999999999
80,40,0.1,0,generate_graphs_4,0.03350000000000001,0.05200000000000001,0.188,0.09350000000000001,0.09050000000000001,0.1975
80,40,0.1,60,generate_graphs_4,0.03300000000000001,0.046000000000000006,0.08650000000000001,0.11600000000000002,0.38699999999999996,1.0
120,40,0.1,0,generate_graphs_4,0.03350000000000001,0.04950000000000001,0.21500000000000002,0.121,0.10200000000000002,0.23149999999999998
120,40,0.1,60,generate_graphs_4,0.0345,0.05550000000000001,0.195,0.1365,0.4995000000000001,1.0
160,40,0.1,0,generate_graphs_4,0.03700000000000001,0.04950000000000001,0.3505,0.1685,0.11950000000000001,0.3485
160,40,0.1,60,generate_graphs_4,0.03250000000000001,0.043000000000000003,0.21350000000000002,0.1955,0.6675,1.0
200,40,0.1,0,generate_graphs_4,0.027000000000000003,0.05250000000000001,0.3275,0.21749999999999997,0.14450000000000002,0.31099999999999994
200,40,0.1,60,generate_graphs_4,0.043500000000000004,0.051500000000000004,0.28250000000000003,0.26749999999999996,0.7625,1.0
40,80,0.1,0,generate_graphs_4,0.02975,0.051000000000000004,0.22399999999999998,0.06200000000000001,0.08225,0.23700000000000002
40,80,0.1,60,generate_graphs_4,0.033999999999999996,0.05525,0.25475000000000003,0.07225,0.38275,1.0
80,80,0.1,0,generate_graphs_4,0.028500000000000004,0.04875,0.3825,0.11050000000000001,0.0885,0.4029999999999999
80,80,0.1,60,generate_graphs_4,0.03775,0.0495,0.39125,0.11325,0.6465,1.0
120,80,0.1,0,generate_graphs_4,0.031000000000000007,0.05,0.45525000000000004,0.17450000000000002,0.12050000000000001,0.45050000000000007
120,80,0.1,60,generate_graphs_4,0.03275,0.051500000000000004,0.612,0.19975,0.837,1.0
160,80,0.1,0,generate_graphs_4,0.029249999999999998,0.046,0.5297499999999999,0.25925000000000004,0.1755,0.5422499999999999
160,80,0.1,60,generate_graphs_4,0.03275,0.051000000000000004,0.7175,0.29900000000000004,0.9289999999999999,1.0
200,80,0.1,0,generate_graphs_4,0.03175,0.05425,0.54325,0.3395,0.21549999999999997,0.55775
200,80,0.1,60,generate_graphs_4,0.03325,0.05600000000000001,0.8012499999999999,0.40750000000000003,0.9745000000000001,1.0
40,120,0.1,0,generate_graphs_4,0.0355,0.052000000000000005,0.32433333333333336,0.06983333333333333,0.07533333333333334,0.34116666666666656
40,120,0.1,60,generate_graphs_4,0.035666666666666666,0.05433333333333334,0.43683333333333335,0.08549999999999999,0.5333333333333333,1.0
80,120,0.1,0,generate_graphs_4,0.02816666666666667,0.05233333333333333,0.4935,0.13383333333333336,0.10950000000000001,0.5078333333333334
80,120,0.1,60,generate_graphs_4,0.028833333333333336,0.05116666666666666,0.8203333333333335,0.1586666666666666,0.8403333333333333,1.0
120,120,0.1,0,generate_graphs_4,0.025333333333333336,0.048666666666666664,0.5386666666666666,0.22716666666666668,0.15233333333333335,0.5463333333333333
120,120,0.1,60,generate_graphs_4,0.027666666666666666,0.045833333333333344,0.9643333333333334,0.25800000000000006,0.9526666666666664,1.0
160,120,0.1,0,generate_graphs_4,0.02966666666666667,0.05016666666666667,0.6266666666666666,0.34083333333333327,0.2195,0.631
160,120,0.1,60,generate_graphs_4,0.030166666666666668,0.054,0.9983333333333333,0.40000000000000013,0.9916666666666668,1.0
200,120,0.1,0,generate_graphs_4,0.030166666666666668,0.046833333333333324,0.6823333333333335,0.45566666666666666,0.2928333333333334,0.6958333333333334
200,120,0.1,60,generate_graphs_4,0.025833333333333333,0.05183333333333333,0.9994999999999999,0.5448333333333334,0.998,1.0
40,160,0.1,0,generate_graphs_4,0.03275,0.053625,0.41637500000000005,0.078875,0.08362499999999999,0.42225
40,160,0.1,60,generate_graphs_4,0.032125,0.059375,0.783375,0.09312500000000001,0.664375,1.0
80,160,0.1,0,generate_graphs_4,0.028874999999999994,0.052500000000000005,0.54725,0.1625,0.12937500000000002,0.5535
80,160,0.1,60,generate_graphs_4,0.030500000000000006,0.045625000000000006,0.9724999999999998,0.18987499999999996,0.9355,1.0
120,160,0.1,0,generate_graphs_4,0.03325,0.0495,0.6188750000000001,0.277625,0.19475,0.638
120,160,0.1,60,generate_graphs_4,0.026375000000000003,0.047125,0.999625,0.335375,0.9907499999999999,1.0
160,160,0.1,0,generate_graphs_4,0.030000000000000006,0.04675,0.6988749999999999,0.4145,0.28700000000000003,0.71175
160,160,0.1,60,generate_graphs_4,0.029374999999999995,0.04825,1.0,0.48599999999999993,0.99925,1.0
200,160,0.1,0,generate_graphs_4,0.03125,0.050875000000000004,0.741,0.5537500000000001,0.38375000000000004,0.759375
200,160,0.1,60,generate_graphs_4,0.0315,0.048375,1.0,0.650375,0.9998750000000001,1.0
40,200,0.1,0,generate_graphs_4,0.03239999999999999,0.050599999999999985,0.5012,0.083,0.085,0.5081
40,200,0.1,60,generate_graphs_4,0.027699999999999995,0.05589999999999999,0.9225,0.09499999999999999,0.7744999999999999,1.0
80,200,0.1,0,generate_graphs_4,0.0314,0.0487,0.6035,0.18769999999999995,0.13879999999999998,0.6075
80,200,0.1,60,generate_graphs_4,0.028900000000000002,0.046400000000000004,0.9949000000000001,0.21479999999999996,0.9767,1.0
120,200,0.1,0,generate_graphs_4,0.0276,0.05000000000000001,0.6911000000000002,0.3188,0.22870000000000001,0.715
120,200,0.1,60,generate_graphs_4,0.0315,0.04810000000000001,0.9999000000000001,0.3761,0.9976999999999999,1.0
160,200,0.1,0,generate_graphs_4,0.0271,0.05210000000000001,0.7490000000000001,0.4797,0.3472,0.7591
160,200,0.1,60,generate_graphs_4,0.030199999999999994,0.047000000000000014,1.0,0.5723999999999999,1.0,1.0
200,200,0.1,0,generate_graphs_4,0.029099999999999994,0.048600000000000004,0.8003999999999999,0.6387999999999999,0.483,0.8114000000000003
200,200,0.1,60,generate_graphs_4,0.0292,0.0527,1.0,0.7338000000000001,1.0,1.0
40,40,0.3,0,generate_graphs_4,0.0395,0.05150000000000001,0.5265,0.48900000000000005,0.30150000000000005,0.5760000000000001
40,40,0.3,60,generate_graphs_4,0.038500000000000006,0.06250000000000001,0.45150000000000007,0.5865,0.9529999999999997,1.0
80,40,0.3,0,generate_graphs_4,0.028000000000000008,0.0505,0.6365000000000001,0.89,0.6605000000000001,0.6949999999999998
80,40,0.3,60,generate_graphs_4,0.03650000000000001,0.0425,0.6655,0.9200000000000002,0.9995,1.0
120,40,0.3,0,generate_graphs_4,0.03400000000000001,0.043000000000000003,0.7505,0.9889999999999999,0.8985000000000001,0.8
120,40,0.3,60,generate_graphs_4,0.03550000000000001,0.04850000000000001,0.8915,0.9964999999999999,1.0,1.0
160,40,0.3,0,generate_graphs_4,0.031000000000000007,0.04700000000000001,0.8055,0.9984999999999999,0.9704999999999998,0.8535000000000001
160,40,0.3,60,generate_graphs_4,0.028500000000000004,0.0395,0.9495000000000001,1.0,1.0,1.0
200,40,0.3,0,generate_graphs_4,0.04,0.048,0.8560000000000001,1.0,0.9904999999999999,0.8985000000000001
200,40,0.3,60,generate_graphs_4,0.03350000000000001,0.05250000000000001,0.9809999999999997,1.0,1.0,1.0
40,80,0.3,0,generate_graphs_4,0.0355,0.0485,0.69825,0.7295,0.5349999999999999,0.75525
40,80,0.3,60,generate_graphs_4,0.03425,0.0495,0.8805,0.8109999999999999,1.0,1.0
80,80,0.3,0,generate_graphs_4,0.03725,0.055499999999999994,0.8497499999999999,0.992,0.9475,0.8997499999999998
80,80,0.3,60,generate_graphs_4,0.03025,0.04775,0.9962500000000002,0.9960000000000001,1.0,1.0
120,80,0.3,0,generate_graphs_4,0.030000000000000006,0.04475,0.9025000000000001,1.0,0.9985000000000002,0.9407500000000001
120,80,0.3,60,generate_graphs_4,0.029250000000000005,0.0405,1.0,1.0,1.0,1.0
160,80,0.3,0,generate_graphs_4,0.03025,0.051500000000000004,0.93675,1.0,1.0,0.9667499999999999
160,80,0.3,60,generate_graphs_4,0.02975,0.0505,1.0,1.0,1.0,1.0
200,80,0.3,0,generate_graphs_4,0.027000000000000003,0.048,0.9600000000000002,1.0,1.0,0.9780000000000001
200,80,0.3,60,generate_graphs_4,0.03225,0.046,1.0,1.0,1.0,1.0
40,120,0.3,0,generate_graphs_4,0.03283333333333334,0.053166666666666675,0.7996666666666666,0.8683333333333331,0.9771666666666666,0.8578333333333333
40,120,0.3,60,generate_graphs_4,0.03633333333333333,0.05383333333333333,0.9955000000000002,0.9198333333333333,1.0,1.0
80,120,0.3,0,generate_graphs_4,0.035666666666666666,0.05349999999999999,0.9150000000000001,1.0,1.0,0.9521666666666666
80,120,0.3,60,generate_graphs_4,0.03283333333333334,0.05333333333333333,1.0,1.0,1.0,1.0
120,120,0.3,0,generate_graphs_4,0.031000000000000003,0.04516666666666667,0.9546666666666667,1.0,1.0,0.977
120,120,0.3,60,generate_graphs_4,0.029500000000000005,0.050166666666666665,1.0,1.0,1.0,1.0
160,120,0.3,0,generate_graphs_4,0.028500000000000004,0.04283333333333333,0.9684999999999999,1.0,1.0,0.9893333333333334
160,120,0.3,60,generate_graphs_4,0.027000000000000003,0.046,1.0,1.0,1.0,1.0
200,120,0.3,0,generate_graphs_4,0.031000000000000007,0.05183333333333332,0.979,1.0,1.0,0.9926666666666666
200,120,0.3,60,generate_graphs_4,0.02816666666666667,0.047666666666666656,1.0,1.0,1.0,1.0
40,160,0.3,0,generate_graphs_4,0.0385,0.053750000000000006,0.8491249999999999,0.945,1.0,0.8975000000000002
40,160,0.3,60,generate_graphs_4,0.0315,0.048,0.9995,0.9717500000000001,1.0,1.0
80,160,0.3,0,generate_graphs_4,0.028375,0.05325,0.9521249999999999,1.0,1.0,0.9705000000000001
80,160,0.3,60,generate_graphs_4,0.030000000000000006,0.0465,1.0,1.0,1.0,1.0
120,160,0.3,0,generate_graphs_4,0.028249999999999997,0.051875000000000004,0.96875,1.0,1.0,0.9881250000000001
120,160,0.3,60,generate_graphs_4,0.026625,0.051500000000000004,1.0,1.0,1.0,1.0
160,160,0.3,0,generate_graphs_4,0.030874999999999996,0.053000000000000005,0.98375,1.0,1.0,0.99475
160,160,0.3,60,generate_graphs_4,0.025875000000000002,0.04425,1.0,1.0,1.0,1.0
200,160,0.3,0,generate_graphs_4,0.027625,0.048,0.9879999999999999,1.0,1.0,0.9953749999999999
200,160,0.3,60,generate_graphs_4,0.031875,0.049375,1.0,1.0,1.0,1.0
40,200,0.3,0,generate_graphs_4,0.035500000000000004,0.05250000000000001,0.8883000000000001,0.9756,1.0,0.9301999999999999
40,200,0.3,60,generate_graphs_4,0.028299999999999995,0.05159999999999999,1.0,0.9898,1.0,1.0
80,200,0.3,0,generate_graphs_4,0.029399999999999996,0.0513,0.9542,1.0,1.0,0.9815999999999999
80,200,0.3,60,generate_graphs_4,0.0277,0.048999999999999995,1.0,1.0,1.0,1.0
120,200,0.3,0,generate_graphs_4,0.028299999999999992,0.048,0.9717999999999999,1.0,1.0,0.9912000000000001
120,200,0.3,60,generate_graphs_4,0.0265,0.04750000000000001,1.0,1.0,1.0,1.0
160,200,0.3,0,generate_graphs_4,0.029899999999999996,0.049300000000000004,0.9822,1.0,1.0,0.9947999999999999
160,200,0.3,60,generate_graphs_4,0.026900000000000004,0.0463,1.0,1.0,1.0,1.0
200,200,0.3,0,generate_graphs_4,0.025399999999999995,0.0495,0.9892000000000002,1.0,1.0,0.9976
200,200,0.3,60,generate_graphs_4,0.0252,0.0501,1.0,1.0,1.0,1.0
