m,n,effect_size,row_wise_same,omni_same,mase_same,row_wise_diff,omni_diff,mase_diff
40,40,0.0,0.8770000000000001,0.8299999999999998,0.95,0.883,0.8430000000000002,0.9485000000000001
80,40,0.0,0.9325000000000001,0.8855000000000001,0.9844999999999999,0.9409999999999998,0.8945000000000001,0.9834999999999997
120,40,0.0,0.9555,0.9259999999999999,0.9924999999999997,0.9579999999999999,0.9195,0.9944999999999998
160,40,0.0,0.9694999999999998,0.9280000000000002,0.9814999999999998,0.9714999999999998,0.9395000000000001,0.9789999999999999
200,40,0.0,0.9784999999999998,0.954,0.9964999999999999,0.9799999999999999,0.9485000000000001,0.9949999999999999
40,80,0.0,0.9147500000000001,0.892,0.9119999999999999,0.9287500000000002,0.8844999999999998,0.9109999999999999
80,80,0.0,0.9587499999999999,0.931,0.962,0.9574999999999999,0.9237500000000001,0.96225
120,80,0.0,0.97075,0.9434999999999999,0.9894999999999999,0.96975,0.9417500000000001,0.9897500000000001
160,80,0.0,0.9795,0.959,0.992,0.97625,0.9585000000000001,0.993
200,80,0.0,0.9835,0.959,0.98375,0.98325,0.9600000000000002,0.985
40,120,0.0,0.9378333333333334,0.9073333333333333,0.9703333333333333,0.9363333333333331,0.9079999999999999,0.9703333333333334
80,120,0.0,0.9695,0.9416666666666667,0.9616666666666667,0.9651666666666667,0.9446666666666665,0.9603333333333332
120,120,0.0,0.9789999999999999,0.9511666666666666,0.9843333333333333,0.9763333333333334,0.9538333333333333,0.9821666666666666
160,120,0.0,0.9846666666666667,0.9636666666666667,0.9848333333333333,0.9821666666666666,0.9631666666666666,0.9883333333333333
200,120,0.0,0.9861666666666667,0.9638333333333334,0.9816666666666669,0.9900000000000001,0.9713333333333335,0.9816666666666668
40,160,0.0,0.94575,0.9196249999999999,0.9368749999999999,0.9465,0.9171250000000001,0.9407499999999999
80,160,0.0,0.9727499999999999,0.944125,0.975375,0.9715000000000001,0.947625,0.976125
120,160,0.0,0.9813750000000001,0.9622499999999998,0.991375,0.981625,0.96175,0.9901250000000001
160,160,0.0,0.9865000000000002,0.9646250000000001,0.9885000000000002,0.9863750000000001,0.969875,0.9886250000000001
200,160,0.0,0.9875000000000002,0.9722500000000001,0.9947500000000001,0.9898750000000002,0.9717499999999999,0.9958750000000001
40,200,0.0,0.9506000000000001,0.9286999999999999,0.9872,0.9478,0.9240999999999999,0.9879000000000002
80,200,0.0,0.9777,0.9558999999999997,0.9790000000000001,0.9747,0.9511,0.9793999999999999
120,200,0.0,0.9838000000000002,0.9614000000000001,0.992,0.9845,0.9617999999999999,0.9932000000000001
160,200,0.0,0.9872000000000001,0.9752999999999998,0.9912000000000001,0.9873000000000001,0.9721999999999998,0.9934999999999999
200,200,0.0,0.9889000000000001,0.9718000000000001,0.9939999999999999,0.9899000000000001,0.9732000000000001,0.9922
40,40,0.2,0.8790000000000001,0.8310000000000001,0.9524999999999999,0.8785000000000001,0.8334999999999999,0.9535000000000002
80,40,0.2,0.9404999999999999,0.9035000000000002,0.9780000000000001,0.9340000000000002,0.898,0.9765
120,40,0.2,0.9569999999999999,0.921,0.9904999999999997,0.9550000000000001,0.9185000000000002,0.9959999999999999
160,40,0.2,0.9709999999999999,0.9385,0.9945,0.9635,0.9375,0.9909999999999997
200,40,0.2,0.978,0.9514999999999999,0.9899999999999999,0.978,0.945,0.9909999999999999
40,80,0.2,0.9254999999999999,0.89025,0.95525,0.9165000000000001,0.88425,0.95075
80,80,0.2,0.96075,0.9327500000000001,0.9797500000000001,0.9607499999999998,0.9385,0.9815000000000002
120,80,0.2,0.9737499999999999,0.95075,0.9879999999999999,0.9702500000000001,0.94725,0.9857500000000001
160,80,0.2,0.9719999999999999,0.9537499999999998,0.9772500000000001,0.982,0.95425,0.9744999999999999
200,80,0.2,0.984,0.9654999999999999,0.9905000000000002,0.98525,0.95475,0.99075
40,120,0.2,0.9386666666666666,0.9028333333333333,0.9338333333333332,0.9403333333333331,0.8933333333333332,0.9333333333333333
80,120,0.2,0.9638333333333333,0.9410000000000001,0.9795,0.9706666666666666,0.9376666666666668,0.9793333333333333
120,120,0.2,0.9798333333333333,0.9543333333333333,0.9883333333333334,0.9748333333333333,0.9521666666666665,0.9908333333333335
160,120,0.2,0.9831666666666667,0.9636666666666668,0.9903333333333334,0.9821666666666666,0.9633333333333333,0.99
200,120,0.2,0.9870000000000001,0.9684999999999999,0.9575,0.9883333333333333,0.9643333333333335,0.9566666666666668
40,160,0.2,0.9486249999999998,0.9168749999999999,0.9643750000000001,0.9477499999999999,0.92925,0.963875
80,160,0.2,0.971125,0.95425,0.9716249999999998,0.969125,0.94825,0.9717500000000001
120,160,0.2,0.9815000000000002,0.9651250000000001,0.9946249999999999,0.9806250000000001,0.9643749999999999,0.994125
160,160,0.2,0.98675,0.96675,0.9923750000000002,0.984125,0.9672499999999999,0.993375
200,160,0.2,0.9878750000000001,0.9721250000000001,0.9934999999999998,0.9879999999999999,0.9728749999999999,0.9934999999999998
40,200,0.2,0.9526999999999998,0.9331,0.9641,0.9447999999999999,0.9288999999999998,0.9645999999999999
80,200,0.2,0.9761,0.9567,0.9871000000000001,0.9747,0.9564,0.9885
120,200,0.2,0.9813999999999998,0.9657000000000001,0.9883000000000002,0.9833000000000002,0.9648,0.9897
160,200,0.2,0.9877000000000001,0.9749,0.9856999999999999,0.9876,0.9744000000000002,0.9847999999999999
200,200,0.2,0.9892,0.9747000000000001,0.9933,0.9894,0.9795,0.9947
40,40,10.0,0.908,0.9170000000000001,0.9984999999999999,0.9964999999999998,0.9949999999999998,0.9994999999999999
80,40,10.0,0.9465,0.9490000000000002,1.0,0.9984999999999999,0.9969999999999999,0.9995
120,40,10.0,0.9719999999999999,0.9714999999999998,1.0,0.999,0.9995,0.9994999999999999
160,40,10.0,0.9744999999999999,0.968,1.0,0.9995,0.9995,1.0
200,40,10.0,0.9845,0.9809999999999999,0.9994999999999999,1.0,0.9984999999999999,1.0
40,80,10.0,0.9424999999999999,0.9467500000000001,0.99825,0.999,0.9995,0.99975
80,80,10.0,0.9710000000000001,0.9737500000000001,0.999,1.0,1.0,1.0
120,80,10.0,0.9774999999999998,0.9775,0.99975,1.0,0.9995,1.0
160,80,10.0,0.983,0.9855,0.99975,0.99925,0.99975,0.99925
200,80,10.0,0.98375,0.983,1.0,0.99975,1.0,1.0
40,120,10.0,0.951,0.9658333333333332,1.0,0.9986666666666667,0.9994999999999999,1.0
80,120,10.0,0.9776666666666667,0.9801666666666666,1.0,0.9993333333333333,0.9996666666666667,1.0
120,120,10.0,0.9826666666666668,0.9866666666666666,0.9998333333333334,0.9986666666666667,0.9993333333333333,0.9995
160,120,10.0,0.9891666666666665,0.9860000000000001,1.0,1.0,1.0,1.0
200,120,10.0,0.9894999999999999,0.9895000000000002,1.0,0.9998333333333334,1.0,1.0
40,160,10.0,0.959625,0.9713750000000001,1.0,0.99925,0.999625,1.0
80,160,10.0,0.978875,0.9822500000000002,1.0,0.9998750000000001,0.999625,1.0
120,160,10.0,0.9872500000000001,0.99,1.0,0.9998750000000001,0.9998750000000001,1.0
160,160,10.0,0.9877500000000001,0.99225,1.0,0.9998750000000001,1.0,1.0
200,160,10.0,0.9912500000000002,0.993125,1.0,0.999625,0.9998750000000001,1.0
40,200,10.0,0.9571,0.9710000000000001,1.0,0.9992,0.9995,1.0
80,200,10.0,0.9817000000000001,0.987,1.0,0.9998,0.9999000000000001,1.0
120,200,10.0,0.9849999999999999,0.9902000000000002,1.0,0.9997,1.0,1.0
160,200,10.0,0.9904000000000001,0.9937000000000001,1.0,1.0,1.0,1.0
200,200,10.0,0.9908,0.993,1.0,0.9999000000000001,1.0,1.0
