m,n,effect_size,model,row_wise_same,omni_same,mase_same,row_wise_diff,omni_diff,mase_diff
40,40,0.0,generate_graphs_1,0.0425,0.053000000000000005,0.06750000000000002,0.03800000000000001,0.04000000000000001,0.07800000000000001
80,40,0.0,generate_graphs_1,0.0415,0.05450000000000001,0.035,0.025500000000000005,0.04750000000000001,0.040000000000000015
120,40,0.0,generate_graphs_1,0.039,0.04950000000000001,0.05800000000000001,0.03400000000000001,0.051000000000000004,0.05950000000000001
160,40,0.0,generate_graphs_1,0.03150000000000001,0.051000000000000004,0.03900000000000001,0.031000000000000007,0.043000000000000003,0.045000000000000005
200,40,0.0,generate_graphs_1,0.03600000000000001,0.046,0.0215,0.026500000000000003,0.046000000000000006,0.03250000000000001
40,80,0.0,generate_graphs_1,0.033249999999999995,0.053500000000000006,0.031000000000000007,0.03275,0.05225,0.025500000000000002
80,80,0.0,generate_graphs_1,0.0395,0.05025,0.0665,0.0385,0.05475000000000001,0.0635
120,80,0.0,generate_graphs_1,0.03675,0.05225,0.043000000000000003,0.029500000000000005,0.04925,0.0445
160,80,0.0,generate_graphs_1,0.029750000000000006,0.05325,0.050249999999999996,0.034999999999999996,0.049,0.058499999999999996
200,80,0.0,generate_graphs_1,0.03075,0.04625,0.05349999999999999,0.0355,0.0505,0.07425000000000001
40,120,0.0,generate_graphs_1,0.033666666666666664,0.05066666666666666,0.008333333333333333,0.034833333333333334,0.052,0.004666666666666667
80,120,0.0,generate_graphs_1,0.029000000000000005,0.04583333333333333,0.06083333333333333,0.033499999999999995,0.049333333333333326,0.056833333333333326
120,120,0.0,generate_graphs_1,0.0325,0.04983333333333332,0.03983333333333334,0.03283333333333334,0.0515,0.034166666666666665
160,120,0.0,generate_graphs_1,0.033,0.04599999999999999,0.11233333333333334,0.02966666666666667,0.048666666666666664,0.0515
200,120,0.0,generate_graphs_1,0.039,0.04666666666666666,0.029666666666666668,0.03266666666666666,0.04566666666666666,0.058
40,160,0.0,generate_graphs_1,0.03475,0.04875,0.07362500000000001,0.033,0.053875000000000006,0.07475000000000001
80,160,0.0,generate_graphs_1,0.033875,0.048625,0.027875000000000004,0.03175,0.04675,0.029625000000000002
120,160,0.0,generate_graphs_1,0.029625000000000002,0.0485,0.06987500000000002,0.03075,0.049875,0.023875
160,160,0.0,generate_graphs_1,0.029249999999999998,0.047875,0.029750000000000006,0.029625000000000002,0.0455,0.04312499999999999
200,160,0.0,generate_graphs_1,0.030125000000000002,0.04712500000000001,0.04512499999999999,0.03275,0.04525,0.010124999999999999
40,200,0.0,generate_graphs_1,0.03439999999999999,0.049100000000000005,0.0151,0.029999999999999995,0.051100000000000007,0.062
80,200,0.0,generate_graphs_1,0.026699999999999998,0.0484,0.08059999999999999,0.0292,0.04699999999999999,0.03619999999999999
120,200,0.0,generate_graphs_1,0.028099999999999997,0.0546,0.03,0.0326,0.052700000000000004,0.032
160,200,0.0,generate_graphs_1,0.0287,0.04739999999999999,0.0592,0.029399999999999996,0.046599999999999996,0.0358
200,200,0.0,generate_graphs_1,0.027399999999999997,0.046,0.04999999999999999,0.0274,0.0479,0.0753
40,40,0.1,generate_graphs_1,0.042499999999999996,0.0495,0.06600000000000002,0.045500000000000006,0.06650000000000002,0.06700000000000002
80,40,0.1,generate_graphs_1,0.043000000000000003,0.054500000000000014,0.11550000000000002,0.06300000000000001,0.1055,0.13299999999999998
120,40,0.1,generate_graphs_1,0.044000000000000004,0.05800000000000002,0.221,0.06450000000000002,0.10700000000000003,0.21350000000000002
160,40,0.1,generate_graphs_1,0.037000000000000005,0.06150000000000001,0.17450000000000002,0.06600000000000002,0.1305,0.21550000000000002
200,40,0.1,generate_graphs_1,0.0375,0.05950000000000001,0.27549999999999997,0.07600000000000003,0.17350000000000002,0.3005
40,80,0.1,generate_graphs_1,0.03375,0.0505,0.22574999999999998,0.043750000000000004,0.09524999999999999,0.56925
80,80,0.1,generate_graphs_1,0.03775,0.0495,0.24725000000000003,0.054000000000000006,0.1315,0.9559999999999998
120,80,0.1,generate_graphs_1,0.03175,0.061250000000000006,0.2505,0.065,0.16775,0.985
160,80,0.1,generate_graphs_1,0.03149999999999999,0.059750000000000004,0.26949999999999996,0.08025,0.22575000000000003,1.0
200,80,0.1,generate_graphs_1,0.03175,0.05675000000000001,0.27749999999999997,0.1,0.27175000000000005,1.0
40,120,0.1,generate_graphs_1,0.034666666666666665,0.05483333333333333,0.20099999999999998,0.0455,0.11416666666666667,0.9996666666666667
80,120,0.1,generate_graphs_1,0.03266666666666667,0.05933333333333333,0.22233333333333333,0.063,0.18233333333333332,1.0
120,120,0.1,generate_graphs_1,0.030333333333333334,0.06199999999999999,0.284,0.07183333333333333,0.24683333333333338,1.0
160,120,0.1,generate_graphs_1,0.030500000000000006,0.057166666666666664,0.33100000000000007,0.08700000000000001,0.31883333333333336,1.0
200,120,0.1,generate_graphs_1,0.03200000000000001,0.06949999999999999,0.346,0.10883333333333332,0.39033333333333337,1.0
40,160,0.1,generate_graphs_1,0.035625000000000004,0.056499999999999995,0.18487499999999998,0.04675,0.1375,1.0
80,160,0.1,generate_graphs_1,0.034875,0.063625,0.27225,0.054125,0.21125,1.0
120,160,0.1,generate_graphs_1,0.03325,0.062375,0.32249999999999995,0.083375,0.327625,1.0
160,160,0.1,generate_graphs_1,0.0365,0.06775,0.4095000000000001,0.09575,0.42174999999999996,1.0
200,160,0.1,generate_graphs_1,0.03225,0.075625,0.52925,0.12512500000000001,0.5042500000000001,1.0
40,200,0.1,generate_graphs_1,0.0317,0.057,0.22580000000000003,0.0481,0.1492,1.0
80,200,0.1,generate_graphs_1,0.0322,0.0643,0.39620000000000005,0.0646,0.2731,1.0
120,200,0.1,generate_graphs_1,0.0332,0.06119999999999999,0.49589999999999995,0.0808,0.4029999999999999,1.0
160,200,0.1,generate_graphs_1,0.031799999999999995,0.07550000000000003,0.636,0.1094,0.5034,1.0
200,200,0.1,generate_graphs_1,0.029500000000000002,0.0803,0.7191000000000003,0.1333,0.6037,1.0
40,40,1.0,generate_graphs_1,0.068,0.133,0.9184999999999999,0.8604999999999998,0.9829999999999999,0.9205
80,40,1.0,generate_graphs_1,0.1155,0.278,0.9399999999999998,0.9949999999999999,1.0,0.9809999999999999
120,40,1.0,generate_graphs_1,0.15900000000000003,0.371,0.9639999999999999,1.0,1.0,0.9894999999999998
160,40,1.0,generate_graphs_1,0.2065,0.528,0.9489999999999998,1.0,1.0,0.9945
200,40,1.0,generate_graphs_1,0.2515,0.619,0.9469999999999998,1.0,1.0,0.9950000000000001
40,80,1.0,generate_graphs_1,0.091,0.25325000000000003,0.8227499999999999,0.9879999999999999,1.0,0.99275
80,80,1.0,generate_graphs_1,0.13425,0.48125,0.88825,1.0,1.0,1.0
120,80,1.0,generate_graphs_1,0.19424999999999998,0.6849999999999999,0.9279999999999999,1.0,1.0,1.0
160,80,1.0,generate_graphs_1,0.29250000000000004,0.8240000000000001,0.94475,1.0,1.0,1.0
200,80,1.0,generate_graphs_1,0.403,0.9179999999999999,0.96975,1.0,1.0,1.0
40,120,1.0,generate_graphs_1,0.08349999999999999,0.3516666666666667,0.88,0.9984999999999999,1.0,1.0
80,120,1.0,generate_graphs_1,0.16449999999999998,0.6808333333333334,0.9533333333333331,1.0,1.0,1.0
120,120,1.0,generate_graphs_1,0.26066666666666666,0.8661666666666668,0.9876666666666666,1.0,1.0,1.0
160,120,1.0,generate_graphs_1,0.4016666666666666,0.9561666666666666,0.9948333333333335,1.0,1.0,1.0
200,120,1.0,generate_graphs_1,0.5136666666666667,0.9884999999999999,0.9975000000000002,1.0,1.0,1.0
40,160,1.0,generate_graphs_1,0.09175,0.45649999999999996,0.9504999999999999,0.99975,1.0,1.0
80,160,1.0,generate_graphs_1,0.18587499999999998,0.8103749999999998,0.9914999999999999,1.0,1.0,1.0
120,160,1.0,generate_graphs_1,0.317875,0.9504999999999999,0.998875,1.0,1.0,1.0
160,160,1.0,generate_graphs_1,0.46925,0.9916250000000002,1.0,1.0,1.0,1.0
200,160,1.0,generate_graphs_1,0.624125,0.9981249999999999,1.0,1.0,1.0,1.0
40,200,1.0,generate_graphs_1,0.10280000000000002,0.5621,0.9864,1.0,1.0,1.0
80,200,1.0,generate_graphs_1,0.20859999999999995,0.8998,0.9997,1.0,1.0,1.0
120,200,1.0,generate_graphs_1,0.36340000000000006,0.985,1.0,1.0,1.0,1.0
160,200,1.0,generate_graphs_1,0.5468,0.9987,1.0,1.0,1.0,1.0
200,200,1.0,generate_graphs_1,0.7108000000000001,0.9999000000000001,1.0,1.0,1.0,1.0
40,40,2.0,generate_graphs_1,0.149,0.3175,0.9664999999999999,1.0,1.0,0.9984999999999999
80,40,2.0,generate_graphs_1,0.3035,0.6115,0.9734999999999999,1.0,1.0,0.9995
120,40,2.0,generate_graphs_1,0.5024999999999998,0.8404999999999999,0.9634999999999998,1.0,1.0,1.0
160,40,2.0,generate_graphs_1,0.683,0.9450000000000001,0.978,1.0,1.0,1.0
200,40,2.0,generate_graphs_1,0.8135,0.9829999999999999,0.9644999999999999,1.0,1.0,1.0
40,80,2.0,generate_graphs_1,0.22024999999999997,0.5887499999999999,0.94025,1.0,1.0,1.0
80,80,2.0,generate_graphs_1,0.48650000000000004,0.9175000000000001,0.9730000000000001,1.0,1.0,1.0
120,80,2.0,generate_graphs_1,0.74725,0.9905000000000002,0.986,1.0,1.0,1.0
160,80,2.0,generate_graphs_1,0.9065,0.99875,0.99725,1.0,1.0,1.0
200,80,2.0,generate_graphs_1,0.96925,1.0,0.999,1.0,1.0,1.0
40,120,2.0,generate_graphs_1,0.2506666666666667,0.7921666666666667,0.9796666666666666,1.0,1.0,1.0
80,120,2.0,generate_graphs_1,0.631,0.9883333333333333,0.9970000000000001,1.0,1.0,1.0
120,120,2.0,generate_graphs_1,0.8831666666666665,0.9998333333333334,0.9998333333333334,1.0,1.0,1.0
160,120,2.0,generate_graphs_1,0.9714999999999999,1.0,1.0,1.0,1.0,1.0
200,120,2.0,generate_graphs_1,0.996,1.0,1.0,1.0,1.0,1.0
40,160,2.0,generate_graphs_1,0.320125,0.9018749999999999,0.9956250000000001,1.0,1.0,1.0
80,160,2.0,generate_graphs_1,0.7366250000000001,0.9995,1.0,1.0,1.0,1.0
120,160,2.0,generate_graphs_1,0.9475,1.0,1.0,1.0,1.0,1.0
160,160,2.0,generate_graphs_1,0.9925,1.0,1.0,1.0,1.0,1.0
200,160,2.0,generate_graphs_1,0.99975,1.0,1.0,1.0,1.0,1.0
40,200,2.0,generate_graphs_1,0.3721,0.9628999999999999,0.9992,1.0,1.0,1.0
80,200,2.0,generate_graphs_1,0.8199000000000001,0.9999000000000001,1.0,1.0,1.0,1.0
120,200,2.0,generate_graphs_1,0.978,1.0,1.0,1.0,1.0,1.0
160,200,2.0,generate_graphs_1,0.9989999999999999,1.0,1.0,1.0,1.0,1.0
200,200,2.0,generate_graphs_1,0.9999000000000001,1.0,1.0,1.0,1.0,1.0
40,40,0,generate_graphs_2,0.03600000000000001,0.0455,0.053500000000000006,0.025500000000000005,0.046000000000000006,0.04750000000000001
80,40,0,generate_graphs_2,0.03300000000000001,0.05100000000000001,0.03450000000000001,0.03500000000000001,0.0465,0.027500000000000007
120,40,0,generate_graphs_2,0.03700000000000001,0.05100000000000001,0.05750000000000001,0.041,0.05100000000000001,0.044000000000000004
160,40,0,generate_graphs_2,0.03600000000000001,0.05050000000000001,0.043000000000000003,0.030500000000000006,0.047,0.04100000000000001
200,40,0,generate_graphs_2,0.03200000000000001,0.03950000000000001,0.022,0.03400000000000001,0.05000000000000001,0.0245
40,80,0,generate_graphs_2,0.033,0.04675,0.042249999999999996,0.03150000000000001,0.04675,0.034749999999999996
80,80,0,generate_graphs_2,0.027000000000000003,0.048,0.0205,0.0335,0.048,0.02275
120,80,0,generate_graphs_2,0.03225,0.04875,0.05075,0.0315,0.04425,0.033999999999999996
160,80,0,generate_graphs_2,0.026250000000000002,0.051750000000000004,0.07625,0.03075,0.04475,0.04525
200,80,0,generate_graphs_2,0.0385,0.05125,0.046,0.03125000000000001,0.04025,0.031000000000000007
40,120,0,generate_graphs_2,0.030666666666666672,0.052,0.016,0.030666666666666672,0.04966666666666666,0.006000000000000001
80,120,0,generate_graphs_2,0.030333333333333337,0.0465,0.04183333333333333,0.03549999999999999,0.047499999999999994,0.06283333333333334
120,120,0,generate_graphs_2,0.030000000000000006,0.048999999999999995,0.08416666666666667,0.027000000000000007,0.05083333333333333,0.063
160,120,0,generate_graphs_2,0.03366666666666667,0.049166666666666664,0.029166666666666667,0.03016666666666667,0.048666666666666664,0.049
200,120,0,generate_graphs_2,0.030000000000000006,0.05433333333333333,0.03449999999999999,0.03283333333333333,0.047833333333333325,0.06683333333333333
40,160,0,generate_graphs_2,0.030625000000000003,0.04675,0.0445,0.034499999999999996,0.051875000000000004,0.049624999999999996
80,160,0,generate_graphs_2,0.030250000000000006,0.0475,0.039625,0.03275,0.05237499999999999,0.020124999999999997
120,160,0,generate_graphs_2,0.029625000000000002,0.051000000000000004,0.05225,0.028625,0.049999999999999996,0.05975000000000001
160,160,0,generate_graphs_2,0.029500000000000005,0.048375,0.07112500000000001,0.026875000000000003,0.053750000000000006,0.04775
200,160,0,generate_graphs_2,0.029500000000000005,0.04975,0.06325,0.030000000000000006,0.0485,0.11850000000000001
40,200,0,generate_graphs_2,0.035199999999999995,0.05500000000000001,0.049499999999999995,0.0331,0.0522,0.051899999999999995
80,200,0,generate_graphs_2,0.0307,0.054099999999999995,0.0338,0.032100000000000004,0.05090000000000001,0.03589999999999999
120,200,0,generate_graphs_2,0.025999999999999995,0.05140000000000001,0.0593,0.0292,0.049,0.05949999999999999
160,200,0,generate_graphs_2,0.028699999999999993,0.0501,0.0509,0.030199999999999994,0.04800000000000001,0.022099999999999998
200,200,0,generate_graphs_2,0.028599999999999993,0.05050000000000001,0.06700000000000002,0.028099999999999997,0.0467,0.0508
40,40,15,generate_graphs_2,0.081,0.24750000000000005,0.8674999999999999,0.09150000000000001,0.2565,0.8734999999999999
80,40,15,generate_graphs_2,0.15550000000000003,0.49899999999999994,1.0,0.16100000000000003,0.5134999999999998,0.9969999999999999
120,40,15,generate_graphs_2,0.269,0.7484999999999999,1.0,0.248,0.745,1.0
160,40,15,generate_graphs_2,0.3544999999999999,0.8645000000000002,1.0,0.358,0.8695,1.0
200,40,15,generate_graphs_2,0.4535000000000001,0.9405000000000001,1.0,0.45050000000000007,0.9514999999999999,1.0
40,80,15,generate_graphs_2,0.11375000000000002,0.4952500000000001,1.0,0.1,0.5005,1.0
80,80,15,generate_graphs_2,0.23525000000000001,0.8462499999999998,1.0,0.22625,0.8567499999999999,1.0
120,80,15,generate_graphs_2,0.39199999999999996,0.9719999999999999,1.0,0.40024999999999994,0.9705,1.0
160,80,15,generate_graphs_2,0.5667500000000001,0.9952500000000001,1.0,0.5535,0.9960000000000001,1.0
200,80,15,generate_graphs_2,0.71025,0.999,1.0,0.7115,0.9995,1.0
40,120,15,generate_graphs_2,0.1205,0.7201666666666667,1.0,0.12433333333333332,0.7021666666666667,1.0
80,120,15,generate_graphs_2,0.29283333333333345,0.9706666666666666,1.0,0.29333333333333333,0.9668333333333332,1.0
120,120,15,generate_graphs_2,0.5086666666666667,0.9995,1.0,0.5063333333333334,0.9984999999999999,1.0
160,120,15,generate_graphs_2,0.7153333333333334,0.9998333333333334,1.0,0.7088333333333332,1.0,1.0
