m,n,effect_size,model,row_wise_same,omni_same,mase_same,row_wise_diff,omni_diff,mase_diff
200,120,15,generate_graphs_2,0.8628333333333333,1.0,1.0,0.8533333333333333,1.0,1.0
40,160,15,generate_graphs_2,0.14962499999999998,0.850875,1.0,0.151,0.8475000000000001,1.0
80,160,15,generate_graphs_2,0.356375,0.9961249999999999,1.0,0.364375,0.9952500000000001,1.0
120,160,15,generate_graphs_2,0.610875,1.0,1.0,0.627125,1.0,1.0
160,160,15,generate_graphs_2,0.820875,1.0,1.0,0.8300000000000001,1.0,1.0
200,160,15,generate_graphs_2,0.9331250000000001,1.0,1.0,0.930875,1.0,1.0
40,200,15,generate_graphs_2,0.1699,0.9255999999999999,1.0,0.17039999999999997,0.9259999999999999,1.0
80,200,15,generate_graphs_2,0.42169999999999996,0.9994,1.0,0.42910000000000004,0.9992,1.0
120,200,15,generate_graphs_2,0.7150999999999997,1.0,1.0,0.7067999999999999,1.0,1.0
160,200,15,generate_graphs_2,0.894,1.0,1.0,0.8912,1.0,1.0
200,200,15,generate_graphs_2,0.9699999999999999,1.0,1.0,0.9687,1.0,1.0
40,40,30,generate_graphs_2,0.45649999999999996,0.9800000000000001,1.0,0.457,0.9775,1.0
80,40,30,generate_graphs_2,0.8845000000000001,1.0,1.0,0.8900000000000002,1.0,1.0
120,40,30,generate_graphs_2,0.9939999999999998,1.0,1.0,0.9880000000000001,1.0,1.0
160,40,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
200,40,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
40,80,30,generate_graphs_2,0.7145,1.0,1.0,0.70575,1.0,1.0
80,80,30,generate_graphs_2,0.9925,1.0,1.0,0.9920000000000002,1.0,1.0
120,80,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
160,80,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
200,80,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
40,120,30,generate_graphs_2,0.8606666666666666,1.0,1.0,0.8506666666666666,1.0,1.0
80,120,30,generate_graphs_2,0.9998333333333334,1.0,1.0,0.9998333333333334,1.0,1.0
120,120,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
160,120,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
200,120,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
40,160,30,generate_graphs_2,0.9352499999999999,1.0,1.0,0.9327500000000001,1.0,1.0
80,160,30,generate_graphs_2,1.0,1.0,1.0,0.9998750000000001,1.0,1.0
120,160,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
160,160,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
200,160,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
40,200,30,generate_graphs_2,0.9735,1.0,1.0,0.9712999999999999,1.0,1.0
80,200,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
120,200,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
160,200,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
200,200,30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
40,40,-30,generate_graphs_2,0.148,0.388,0.6014999999999999,0.14250000000000002,0.39,0.6050000000000001
80,40,-30,generate_graphs_2,0.32999999999999996,0.734,0.7835000000000001,0.335,0.7329999999999999,0.7794999999999999
120,40,-30,generate_graphs_2,0.5079999999999999,0.9180000000000001,0.8664999999999999,0.5135,0.9069999999999998,0.8719999999999999
160,40,-30,generate_graphs_2,0.6805000000000001,0.9695,0.9070000000000003,0.675,0.97,0.9139999999999999
200,40,-30,generate_graphs_2,0.8240000000000001,0.9945,0.946,0.8019999999999999,0.9954999999999998,0.9315000000000001
40,80,-30,generate_graphs_2,0.21149999999999997,0.7217499999999999,0.8825,0.21775000000000003,0.7275,0.875
80,80,-30,generate_graphs_2,0.4942499999999999,0.968,0.9825000000000002,0.50075,0.96425,0.983
120,80,-30,generate_graphs_2,0.7485,0.9977500000000001,0.999,0.753,0.99825,0.9975000000000002
160,80,-30,generate_graphs_2,0.9109999999999999,0.99925,1.0,0.91325,1.0,1.0
200,80,-30,generate_graphs_2,0.97075,1.0,1.0,0.9652499999999999,1.0,1.0
40,120,-30,generate_graphs_2,0.2596666666666667,0.8861666666666667,1.0,0.2605,0.8829999999999999,1.0
80,120,-30,generate_graphs_2,0.631,0.998,1.0,0.6255000000000002,0.9973333333333335,1.0
120,120,-30,generate_graphs_2,0.8795000000000001,1.0,1.0,0.8845000000000002,1.0,1.0
160,120,-30,generate_graphs_2,0.9738333333333333,1.0,1.0,0.9771666666666667,1.0,1.0
200,120,-30,generate_graphs_2,0.9955,1.0,1.0,0.997,1.0,1.0
40,160,-30,generate_graphs_2,0.321375,0.9627500000000001,1.0,0.321,0.9587499999999999,1.0
80,160,-30,generate_graphs_2,0.739875,0.9998750000000001,1.0,0.7386250000000001,0.9998750000000001,1.0
120,160,-30,generate_graphs_2,0.9482499999999998,1.0,1.0,0.9428749999999999,1.0,1.0
160,160,-30,generate_graphs_2,0.9935,1.0,1.0,0.9937500000000001,1.0,1.0
200,160,-30,generate_graphs_2,0.999,1.0,1.0,0.99975,1.0,1.0
40,200,-30,generate_graphs_2,0.3723,0.9872000000000001,1.0,0.37550000000000006,0.9863000000000001,1.0
80,200,-30,generate_graphs_2,0.8141000000000002,1.0,1.0,0.8197,1.0,1.0
120,200,-30,generate_graphs_2,0.9746000000000001,1.0,1.0,0.9779000000000001,1.0,1.0
160,200,-30,generate_graphs_2,0.9991,1.0,1.0,0.9983000000000001,1.0,1.0
200,200,-30,generate_graphs_2,1.0,1.0,1.0,1.0,1.0,1.0
40,40,"(0, 0)",generate_graphs_3,0.04,0.053000000000000005,0.054000000000000006,0.042,0.05600000000000001,0.04650000000000001
80,40,"(0, 0)",generate_graphs_3,0.043,0.05050000000000001,0.04050000000000001,0.03800000000000001,0.05050000000000001,0.04650000000000001
120,40,"(0, 0)",generate_graphs_3,0.03200000000000001,0.045500000000000006,0.05350000000000001,0.03950000000000001,0.04850000000000001,0.05350000000000001
160,40,"(0, 0)",generate_graphs_3,0.03250000000000001,0.04900000000000001,0.03450000000000001,0.039,0.041,0.03700000000000001
200,40,"(0, 0)",generate_graphs_3,0.03350000000000001,0.04900000000000001,0.0245,0.03500000000000001,0.045,0.03250000000000001
40,80,"(0, 0)",generate_graphs_3,0.03075,0.052000000000000005,0.059250000000000004,0.032749999999999994,0.05225,0.0495
80,80,"(0, 0)",generate_graphs_3,0.033499999999999995,0.052500000000000005,0.03725,0.031000000000000007,0.04800000000000001,0.04875
120,80,"(0, 0)",generate_graphs_3,0.03425,0.051250000000000004,0.03575,0.03475,0.053500000000000006,0.030000000000000006
160,80,"(0, 0)",generate_graphs_3,0.035750000000000004,0.048,0.0695,0.0325,0.05125,0.052000000000000005
200,80,"(0, 0)",generate_graphs_3,0.03025,0.052000000000000005,0.06225000000000001,0.032499999999999994,0.049,0.05
40,120,"(0, 0)",generate_graphs_3,0.033,0.054333333333333324,0.08000000000000002,0.0335,0.05316666666666667,0.035833333333333335
80,120,"(0, 0)",generate_graphs_3,0.03066666666666667,0.04816666666666667,0.022666666666666672,0.02866666666666667,0.048666666666666664,0.05566666666666666
120,120,"(0, 0)",generate_graphs_3,0.0315,0.045833333333333316,0.03616666666666666,0.029500000000000005,0.047833333333333325,0.09433333333333332
160,120,"(0, 0)",generate_graphs_3,0.0285,0.047499999999999994,0.042166666666666665,0.03216666666666667,0.04616666666666667,0.08166666666666668
200,120,"(0, 0)",generate_graphs_3,0.02666666666666667,0.044500000000000005,0.020000000000000004,0.030333333333333337,0.047666666666666656,0.02016666666666667
40,160,"(0, 0)",generate_graphs_3,0.03025,0.051125,0.039999999999999994,0.031375,0.05275,0.07462500000000001
80,160,"(0, 0)",generate_graphs_3,0.030625000000000003,0.051125,0.052125,0.031875,0.053750000000000006,0.031875
120,160,"(0, 0)",generate_graphs_3,0.028375,0.052875000000000005,0.030250000000000006,0.030874999999999996,0.04975,0.03287500000000001
160,160,"(0, 0)",generate_graphs_3,0.028749999999999998,0.049875,0.009999999999999998,0.030875000000000003,0.051000000000000004,0.051875000000000004
200,160,"(0, 0)",generate_graphs_3,0.032125,0.054000000000000006,0.039874999999999994,0.026375000000000003,0.0465,0.030000000000000006
40,200,"(0, 0)",generate_graphs_3,0.0368,0.051800000000000006,0.04999999999999999,0.0301,0.0526,0.028000000000000004
80,200,"(0, 0)",generate_graphs_3,0.0314,0.0467,0.0518,0.0296,0.047000000000000014,0.0338
120,200,"(0, 0)",generate_graphs_3,0.027999999999999997,0.047299999999999995,0.10929999999999998,0.030200000000000005,0.04940000000000001,0.0599
160,200,"(0, 0)",generate_graphs_3,0.028999999999999995,0.0447,0.03,0.025900000000000003,0.049400000000000006,0.0604
200,200,"(0, 0)",generate_graphs_3,0.028599999999999993,0.044799999999999986,0.06770000000000001,0.0292,0.0462,0.04969999999999999
40,40,"(0.1, 5)",generate_graphs_3,0.048,0.05300000000000001,0.07150000000000002,0.0435,0.08600000000000001,0.08650000000000002
80,40,"(0.1, 5)",generate_graphs_3,0.045,0.06150000000000001,0.10300000000000001,0.04700000000000001,0.11700000000000002,0.134
120,40,"(0.1, 5)",generate_graphs_3,0.045500000000000006,0.06450000000000002,0.127,0.05450000000000001,0.182,0.28150000000000003
160,40,"(0.1, 5)",generate_graphs_3,0.04850000000000001,0.08050000000000003,0.289,0.04700000000000001,0.20700000000000002,0.49399999999999994
200,40,"(0.1, 5)",generate_graphs_3,0.0475,0.0905,0.40099999999999997,0.07300000000000002,0.24600000000000005,0.6180000000000001
40,80,"(0.1, 5)",generate_graphs_3,0.034999999999999996,0.061250000000000006,0.5999999999999999,0.04,0.123,0.9302500000000002
80,80,"(0.1, 5)",generate_graphs_3,0.03275,0.07,0.9167500000000001,0.051750000000000004,0.2085,0.998
120,80,"(0.1, 5)",generate_graphs_3,0.04625,0.094,0.9815000000000002,0.05625,0.3135,1.0
160,80,"(0.1, 5)",generate_graphs_3,0.04525,0.11100000000000002,0.9970000000000001,0.056499999999999995,0.40449999999999997,1.0
200,80,"(0.1, 5)",generate_graphs_3,0.05075,0.13825,0.99875,0.07225000000000001,0.4915,1.0
40,120,"(0.1, 5)",generate_graphs_3,0.036333333333333336,0.07133333333333335,0.9845000000000002,0.04383333333333332,0.18333333333333338,0.9998333333333334
80,120,"(0.1, 5)",generate_graphs_3,0.035166666666666666,0.09533333333333333,0.9994999999999999,0.04699999999999999,0.31683333333333336,1.0
120,120,"(0.1, 5)",generate_graphs_3,0.03866666666666666,0.12133333333333332,1.0,0.05716666666666667,0.4563333333333333,1.0
160,120,"(0.1, 5)",generate_graphs_3,0.04566666666666666,0.15166666666666664,1.0,0.06649999999999999,0.5588333333333332,1.0
200,120,"(0.1, 5)",generate_graphs_3,0.04016666666666666,0.17666666666666667,1.0,0.082,0.6576666666666667,1.0
40,160,"(0.1, 5)",generate_graphs_3,0.0375,0.088125,0.99875,0.0385,0.23712499999999997,1.0
80,160,"(0.1, 5)",generate_graphs_3,0.037875000000000006,0.11962500000000001,1.0,0.049124999999999995,0.40875000000000006,1.0
120,160,"(0.1, 5)",generate_graphs_3,0.041874999999999996,0.15162499999999998,1.0,0.0635,0.5730000000000001,1.0
160,160,"(0.1, 5)",generate_graphs_3,0.043875,0.19074999999999998,1.0,0.073,0.711,1.0
200,160,"(0.1, 5)",generate_graphs_3,0.05537500000000001,0.240625,1.0,0.09237500000000001,0.8043750000000001,1.0
40,200,"(0.1, 5)",generate_graphs_3,0.032799999999999996,0.08839999999999999,1.0,0.04279999999999999,0.2763,1.0
80,200,"(0.1, 5)",generate_graphs_3,0.036599999999999994,0.1309,1.0,0.0476,0.5037,1.0
120,200,"(0.1, 5)",generate_graphs_3,0.0383,0.18680000000000002,1.0,0.05780000000000001,0.6694,1.0
160,200,"(0.1, 5)",generate_graphs_3,0.04329999999999999,0.2309,1.0,0.0791,0.7982999999999998,1.0
200,200,"(0.1, 5)",generate_graphs_3,0.0479,0.2964,1.0,0.095,0.8816999999999997,1.0
40,40,"(1, 15)",generate_graphs_3,0.052000000000000005,0.08950000000000001,0.68,0.788,0.9944999999999998,0.954
80,40,"(1, 15)",generate_graphs_3,0.06250000000000001,0.1255,0.8559999999999999,0.9894999999999998,1.0,0.998
120,40,"(1, 15)",generate_graphs_3,0.07050000000000001,0.18000000000000002,0.9425000000000001,1.0,1.0,1.0
160,40,"(1, 15)",generate_graphs_3,0.096,0.233,0.9794999999999998,1.0,1.0,1.0
200,40,"(1, 15)",generate_graphs_3,0.12100000000000002,0.299,0.9844999999999999,1.0,1.0,1.0
40,80,"(1, 15)",generate_graphs_3,0.05449999999999999,0.1355,0.97875,0.9642499999999998,1.0,1.0
80,80,"(1, 15)",generate_graphs_3,0.0735,0.22374999999999998,0.99925,1.0,1.0,1.0
120,80,"(1, 15)",generate_graphs_3,0.08975,0.33225,1.0,1.0,1.0,1.0
160,80,"(1, 15)",generate_graphs_3,0.13175,0.46525,1.0,1.0,1.0,1.0
200,80,"(1, 15)",generate_graphs_3,0.14550000000000002,0.57875,1.0,1.0,1.0,1.0
40,120,"(1, 15)",generate_graphs_3,0.054,0.17783333333333332,0.999,0.9926666666666666,1.0,1.0
80,120,"(1, 15)",generate_graphs_3,0.08016666666666669,0.33633333333333326,1.0,1.0,1.0,1.0
120,120,"(1, 15)",generate_graphs_3,0.10666666666666666,0.5235000000000001,1.0,1.0,1.0,1.0
160,120,"(1, 15)",generate_graphs_3,0.147,0.6733333333333333,1.0,1.0,1.0,1.0
200,120,"(1, 15)",generate_graphs_3,0.1885,0.7960000000000002,1.0,1.0,1.0,1.0
40,160,"(1, 15)",generate_graphs_3,0.052000000000000005,0.22225,1.0,0.999375,1.0,1.0
80,160,"(1, 15)",generate_graphs_3,0.081,0.45599999999999996,1.0,1.0,1.0,1.0
120,160,"(1, 15)",generate_graphs_3,0.12112500000000001,0.68075,1.0,1.0,1.0,1.0
160,160,"(1, 15)",generate_graphs_3,0.172125,0.8379999999999999,1.0,1.0,1.0,1.0
200,160,"(1, 15)",generate_graphs_3,0.22024999999999997,0.9126249999999999,1.0,1.0,1.0,1.0
40,200,"(1, 15)",generate_graphs_3,0.053200000000000004,0.2782,1.0,0.9999000000000001,1.0,1.0
80,200,"(1, 15)",generate_graphs_3,0.0866,0.5659000000000001,1.0,1.0,1.0,1.0
120,200,"(1, 15)",generate_graphs_3,0.1399,0.7933999999999999,1.0,1.0,1.0,1.0
160,200,"(1, 15)",generate_graphs_3,0.1882,0.9183000000000001,1.0,1.0,1.0,1.0
200,200,"(1, 15)",generate_graphs_3,0.27440000000000003,0.9726999999999998,1.0,1.0,1.0,1.0
40,40,"(2, 30)",generate_graphs_3,0.44099999999999995,0.8705,1.0,1.0,1.0,1.0
80,40,"(2, 30)",generate_graphs_3,0.8795,0.9995,1.0,1.0,1.0,1.0
120,40,"(2, 30)",generate_graphs_3,0.9909999999999999,1.0,1.0,1.0,1.0,1.0
160,40,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
200,40,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
40,80,"(2, 30)",generate_graphs_3,0.7002499999999999,0.99875,1.0,1.0,1.0,1.0
80,80,"(2, 30)",generate_graphs_3,0.9949999999999999,1.0,1.0,1.0,1.0,1.0
120,80,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
160,80,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
200,80,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
40,120,"(2, 30)",generate_graphs_3,0.8541666666666667,1.0,1.0,1.0,1.0,1.0
80,120,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
120,120,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
160,120,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
200,120,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
40,160,"(2, 30)",generate_graphs_3,0.9313749999999998,1.0,1.0,1.0,1.0,1.0
80,160,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
120,160,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
160,160,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
200,160,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
40,200,"(2, 30)",generate_graphs_3,0.9732000000000001,1.0,1.0,1.0,1.0,1.0
80,200,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
120,200,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
160,200,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
200,200,"(2, 30)",generate_graphs_3,1.0,1.0,1.0,1.0,1.0,1.0
