,Test,Effect_Size,n,Weighting,Simulation,power,power_stderr
600,MWW,0.0,20,Weighted,SBM,0.04,0.0019595917942265423
601,PT,0.0,20,Weighted,SBM,0.01,0.00099498743710662
602,WT,0.0,20,Weighted,SBM,0.04,0.0019595917942265423
603,MWW,0.111,20,Weighted,SBM,0.08,0.002712931993250107
604,PT,0.111,20,Weighted,SBM,0.05,0.0021794494717703367
605,WT,0.111,20,Weighted,SBM,0.1,0.003
606,MWW,0.222,20,Weighted,SBM,0.16,0.0036660605559646715
607,PT,0.222,20,Weighted,SBM,0.11,0.0031288975694324034
608,WT,0.222,20,Weighted,SBM,0.17,0.00375632799419859
609,MWW,0.333,20,Weighted,SBM,0.35,0.004769696007084728
610,PT,0.333,20,Weighted,SBM,0.26,0.004386342439892262
611,WT,0.333,20,Weighted,SBM,0.32,0.004664761515876239
612,MWW,0.444,20,Weighted,SBM,0.35,0.004769696007084728
613,PT,0.444,20,Weighted,SBM,0.23,0.004208325082500163
614,WT,0.444,20,Weighted,SBM,0.37,0.004828043081829324
615,MWW,0.556,20,Weighted,SBM,0.61,0.0048774993593028795
616,PT,0.556,20,Weighted,SBM,0.47,0.004990991885387112
617,WT,0.556,20,Weighted,SBM,0.65,0.004769696007084728
618,MWW,0.667,20,Weighted,SBM,0.69,0.00462493243193887
619,PT,0.667,20,Weighted,SBM,0.58,0.004935585071701228
620,WT,0.667,20,Weighted,SBM,0.73,0.0044395945760846225
621,MWW,0.778,20,Weighted,SBM,0.84,0.0036660605559646724
622,PT,0.778,20,Weighted,SBM,0.69,0.004624932431938871
623,WT,0.778,20,Weighted,SBM,0.83,0.00375632799419859
624,MWW,0.889,20,Weighted,SBM,0.9,0.003
625,PT,0.889,20,Weighted,SBM,0.86,0.0034698703145794947
626,WT,0.889,20,Weighted,SBM,0.94,0.0023748684174075834
627,MWW,1.0,20,Weighted,SBM,1.0,0.0
628,PT,1.0,20,Weighted,SBM,0.89,0.003128897569432403
629,WT,1.0,20,Weighted,SBM,1.0,0.0
630,MWW,0.0,29,Weighted,SBM,0.04,0.0019595917942265427
631,PT,0.0,29,Weighted,SBM,0.02,0.0013999999999999998
632,WT,0.0,29,Weighted,SBM,0.04,0.0019595917942265423
633,MWW,0.111,29,Weighted,SBM,0.08,0.002712931993250107
634,PT,0.111,29,Weighted,SBM,0.05,0.0021794494717703367
635,WT,0.111,29,Weighted,SBM,0.07,0.0025514701644346145
636,MWW,0.222,29,Weighted,SBM,0.23,0.004208325082500163
637,PT,0.222,29,Weighted,SBM,0.16,0.0036660605559646724
638,WT,0.222,29,Weighted,SBM,0.21,0.004073082370883261
639,MWW,0.333,29,Weighted,SBM,0.36,0.0048
640,PT,0.333,29,Weighted,SBM,0.29,0.004537620521815371
641,WT,0.333,29,Weighted,SBM,0.38,0.004853864439804639
642,MWW,0.444,29,Weighted,SBM,0.76,0.004270831300812525
643,PT,0.444,29,Weighted,SBM,0.53,0.004990991885387112
644,WT,0.444,29,Weighted,SBM,0.79,0.004073082370883261
645,MWW,0.556,29,Weighted,SBM,0.88,0.0032496153618543845
646,PT,0.556,29,Weighted,SBM,0.75,0.004330127018922193
647,WT,0.556,29,Weighted,SBM,0.89,0.003128897569432403
648,MWW,0.667,29,Weighted,SBM,0.99,0.00099498743710662
649,PT,0.667,29,Weighted,SBM,0.93,0.0025514701644346145
650,WT,0.667,29,Weighted,SBM,0.99,0.00099498743710662
651,MWW,0.778,29,Weighted,SBM,0.99,0.00099498743710662
652,PT,0.778,29,Weighted,SBM,0.97,0.0017058722109231984
653,WT,0.778,29,Weighted,SBM,0.99,0.00099498743710662
654,MWW,0.889,29,Weighted,SBM,1.0,0.0
655,PT,0.889,29,Weighted,SBM,0.99,0.00099498743710662
656,WT,0.889,29,Weighted,SBM,1.0,0.0
657,MWW,1.0,29,Weighted,SBM,1.0,0.0
658,PT,1.0,29,Weighted,SBM,1.0,0.0
659,WT,1.0,29,Weighted,SBM,1.0,0.0
660,MWW,0.0,38,Weighted,SBM,0.05,0.0021794494717703367
661,PT,0.0,38,Weighted,SBM,0.06,0.0023748684174075834
662,WT,0.0,38,Weighted,SBM,0.06,0.0023748684174075834
663,MWW,0.111,38,Weighted,SBM,0.06,0.0023748684174075834
664,PT,0.111,38,Weighted,SBM,0.09,0.002861817604250837
665,WT,0.111,38,Weighted,SBM,0.09,0.002861817604250837
666,MWW,0.222,38,Weighted,SBM,0.43,0.004950757517794625
667,PT,0.222,38,Weighted,SBM,0.29,0.004537620521815371
668,WT,0.222,38,Weighted,SBM,0.41,0.004918333050943175
669,MWW,0.333,38,Weighted,SBM,0.7,0.00458257569495584
670,PT,0.333,38,Weighted,SBM,0.59,0.004918333050943175
671,WT,0.333,38,Weighted,SBM,0.72,0.00448998886412873
672,MWW,0.444,38,Weighted,SBM,0.93,0.002551470164434615
673,PT,0.444,38,Weighted,SBM,0.85,0.0035707142142714253
674,WT,0.444,38,Weighted,SBM,0.93,0.002551470164434615
675,MWW,0.556,38,Weighted,SBM,0.99,0.00099498743710662
676,PT,0.556,38,Weighted,SBM,0.87,0.0033630343441600472
677,WT,0.556,38,Weighted,SBM,1.0,0.0
678,MWW,0.667,38,Weighted,SBM,1.0,0.0
679,PT,0.667,38,Weighted,SBM,0.97,0.0017058722109231984
680,WT,0.667,38,Weighted,SBM,1.0,0.0
681,MWW,0.778,38,Weighted,SBM,1.0,0.0
682,PT,0.778,38,Weighted,SBM,1.0,0.0
683,WT,0.778,38,Weighted,SBM,1.0,0.0
684,MWW,0.889,38,Weighted,SBM,1.0,0.0
685,PT,0.889,38,Weighted,SBM,1.0,0.0
686,WT,0.889,38,Weighted,SBM,1.0,0.0
687,MWW,1.0,38,Weighted,SBM,1.0,0.0
688,PT,1.0,38,Weighted,SBM,1.0,0.0
689,WT,1.0,38,Weighted,SBM,1.0,0.0
690,MWW,0.0,47,Weighted,SBM,0.11,0.0031288975694324034
691,PT,0.0,47,Weighted,SBM,0.09,0.0028618176042508377
692,WT,0.0,47,Weighted,SBM,0.09,0.002861817604250837
693,MWW,0.111,47,Weighted,SBM,0.28,0.004489988864128729
694,PT,0.111,47,Weighted,SBM,0.26,0.004386342439892262
695,WT,0.111,47,Weighted,SBM,0.3,0.00458257569495584
696,MWW,0.222,47,Weighted,SBM,0.47,0.004990991885387112
697,PT,0.222,47,Weighted,SBM,0.26,0.004386342439892262
698,WT,0.222,47,Weighted,SBM,0.49,0.004998999899979995
699,MWW,0.333,47,Weighted,SBM,0.91,0.0028618176042508377
700,PT,0.333,47,Weighted,SBM,0.72,0.004489988864128729
701,WT,0.333,47,Weighted,SBM,0.91,0.0028618176042508377
702,MWW,0.444,47,Weighted,SBM,0.97,0.0017058722109231984
703,PT,0.444,47,Weighted,SBM,0.92,0.002712931993250107
704,WT,0.444,47,Weighted,SBM,0.98,0.0013999999999999998
705,MWW,0.556,47,Weighted,SBM,1.0,0.0
706,PT,0.556,47,Weighted,SBM,1.0,0.0
707,WT,0.556,47,Weighted,SBM,1.0,0.0
708,MWW,0.667,47,Weighted,SBM,1.0,0.0
709,PT,0.667,47,Weighted,SBM,1.0,0.0
710,WT,0.667,47,Weighted,SBM,1.0,0.0
711,MWW,0.778,47,Weighted,SBM,1.0,0.0
712,PT,0.778,47,Weighted,SBM,1.0,0.0
713,WT,0.778,47,Weighted,SBM,1.0,0.0
714,MWW,0.889,47,Weighted,SBM,1.0,0.0
715,PT,0.889,47,Weighted,SBM,1.0,0.0
716,WT,0.889,47,Weighted,SBM,1.0,0.0
717,MWW,1.0,47,Weighted,SBM,1.0,0.0
718,PT,1.0,47,Weighted,SBM,1.0,0.0
719,WT,1.0,47,Weighted,SBM,1.0,0.0
720,MWW,0.0,56,Weighted,SBM,0.07,0.0025514701644346145
721,PT,0.0,56,Weighted,SBM,0.07,0.0025514701644346145
722,WT,0.0,56,Weighted,SBM,0.03,0.001705872210923198
723,MWW,0.111,56,Weighted,SBM,0.23,0.004208325082500163
724,PT,0.111,56,Weighted,SBM,0.14,0.0034698703145794947
725,WT,0.111,56,Weighted,SBM,0.25,0.004330127018922193
726,MWW,0.222,56,Weighted,SBM,0.72,0.004489988864128728
727,PT,0.222,56,Weighted,SBM,0.49,0.0049989998999799955
728,WT,0.222,56,Weighted,SBM,0.76,0.004270831300812525
729,MWW,0.333,56,Weighted,SBM,0.94,0.0023748684174075834
730,PT,0.333,56,Weighted,SBM,0.83,0.00375632799419859
731,WT,0.333,56,Weighted,SBM,0.96,0.0019595917942265427
732,MWW,0.444,56,Weighted,SBM,1.0,0.0
733,PT,0.444,56,Weighted,SBM,0.99,0.00099498743710662
734,WT,0.444,56,Weighted,SBM,1.0,0.0
735,MWW,0.556,56,Weighted,SBM,1.0,0.0
736,PT,0.556,56,Weighted,SBM,1.0,0.0
737,WT,0.556,56,Weighted,SBM,1.0,0.0
738,MWW,0.667,56,Weighted,SBM,1.0,0.0
739,PT,0.667,56,Weighted,SBM,1.0,0.0
740,WT,0.667,56,Weighted,SBM,1.0,0.0
741,MWW,0.778,56,Weighted,SBM,1.0,0.0
742,PT,0.778,56,Weighted,SBM,1.0,0.0
743,WT,0.778,56,Weighted,SBM,1.0,0.0
744,MWW,0.889,56,Weighted,SBM,1.0,0.0
745,PT,0.889,56,Weighted,SBM,1.0,0.0
746,WT,0.889,56,Weighted,SBM,1.0,0.0
747,MWW,1.0,56,Weighted,SBM,1.0,0.0
748,PT,1.0,56,Weighted,SBM,1.0,0.0
749,WT,1.0,56,Weighted,SBM,1.0,0.0
750,MWW,0.0,64,Weighted,SBM,0.02,0.0013999999999999998
751,PT,0.0,64,Weighted,SBM,0.05,0.0021794494717703367
752,WT,0.0,64,Weighted,SBM,0.02,0.0013999999999999998
753,MWW,0.111,64,Weighted,SBM,0.28,0.004489988864128729
754,PT,0.111,64,Weighted,SBM,0.19,0.003923009049186607
755,WT,0.111,64,Weighted,SBM,0.27,0.004439594576084623
756,MWW,0.222,64,Weighted,SBM,0.85,0.003570714214271425
757,PT,0.222,64,Weighted,SBM,0.65,0.004769696007084728
758,WT,0.222,64,Weighted,SBM,0.86,0.0034698703145794947
759,MWW,0.333,64,Weighted,SBM,0.99,0.00099498743710662
760,PT,0.333,64,Weighted,SBM,0.93,0.0025514701644346145
761,WT,0.333,64,Weighted,SBM,0.99,0.00099498743710662
762,MWW,0.444,64,Weighted,SBM,1.0,0.0
763,PT,0.444,64,Weighted,SBM,1.0,0.0
764,WT,0.444,64,Weighted,SBM,1.0,0.0
765,MWW,0.556,64,Weighted,SBM,1.0,0.0
766,PT,0.556,64,Weighted,SBM,1.0,0.0
767,WT,0.556,64,Weighted,SBM,1.0,0.0
768,MWW,0.667,64,Weighted,SBM,1.0,0.0
769,PT,0.667,64,Weighted,SBM,1.0,0.0
770,WT,0.667,64,Weighted,SBM,1.0,0.0
771,MWW,0.778,64,Weighted,SBM,1.0,0.0
772,PT,0.778,64,Weighted,SBM,1.0,0.0
773,WT,0.778,64,Weighted,SBM,1.0,0.0
774,MWW,0.889,64,Weighted,SBM,1.0,0.0
775,PT,0.889,64,Weighted,SBM,1.0,0.0
776,WT,0.889,64,Weighted,SBM,1.0,0.0
777,MWW,1.0,64,Weighted,SBM,1.0,0.0
778,PT,1.0,64,Weighted,SBM,1.0,0.0
779,WT,1.0,64,Weighted,SBM,1.0,0.0
780,MWW,0.0,73,Weighted,SBM,0.04,0.0019595917942265423
781,PT,0.0,73,Weighted,SBM,0.05,0.0021794494717703367
782,WT,0.0,73,Weighted,SBM,0.05,0.0021794494717703367
783,MWW,0.111,73,Weighted,SBM,0.37,0.004828043081829324
784,PT,0.111,73,Weighted,SBM,0.28,0.004489988864128729
785,WT,0.111,73,Weighted,SBM,0.39,0.0048774993593028795
786,MWW,0.222,73,Weighted,SBM,0.87,0.0033630343441600472
787,PT,0.222,73,Weighted,SBM,0.73,0.0044395945760846225
788,WT,0.222,73,Weighted,SBM,0.91,0.0028618176042508377
789,MWW,0.333,73,Weighted,SBM,0.99,0.00099498743710662
790,PT,0.333,73,Weighted,SBM,0.97,0.0017058722109231984
791,WT,0.333,73,Weighted,SBM,0.99,0.00099498743710662
792,MWW,0.444,73,Weighted,SBM,1.0,0.0
793,PT,0.444,73,Weighted,SBM,0.99,0.00099498743710662
794,WT,0.444,73,Weighted,SBM,1.0,0.0
795,MWW,0.556,73,Weighted,SBM,1.0,0.0
796,PT,0.556,73,Weighted,SBM,1.0,0.0
797,WT,0.556,73,Weighted,SBM,1.0,0.0
798,MWW,0.667,73,Weighted,SBM,1.0,0.0
799,PT,0.667,73,Weighted,SBM,1.0,0.0
800,WT,0.667,73,Weighted,SBM,1.0,0.0
801,MWW,0.778,73,Weighted,SBM,1.0,0.0
802,PT,0.778,73,Weighted,SBM,1.0,0.0
803,WT,0.778,73,Weighted,SBM,1.0,0.0
804,MWW,0.889,73,Weighted,SBM,1.0,0.0
805,PT,0.889,73,Weighted,SBM,1.0,0.0
806,WT,0.889,73,Weighted,SBM,1.0,0.0
807,MWW,1.0,73,Weighted,SBM,1.0,0.0
808,PT,1.0,73,Weighted,SBM,1.0,0.0
809,WT,1.0,73,Weighted,SBM,1.0,0.0
810,MWW,0.0,82,Weighted,SBM,0.06,0.0023748684174075834
811,PT,0.0,82,Weighted,SBM,0.05,0.0021794494717703367
812,WT,0.0,82,Weighted,SBM,0.09,0.002861817604250837
813,MWW,0.111,82,Weighted,SBM,0.37,0.004828043081829324
814,PT,0.111,82,Weighted,SBM,0.25,0.004330127018922193
815,WT,0.111,82,Weighted,SBM,0.41,0.004918333050943175
816,MWW,0.222,82,Weighted,SBM,0.97,0.0017058722109231984
817,PT,0.222,82,Weighted,SBM,0.86,0.0034698703145794947
818,WT,0.222,82,Weighted,SBM,0.97,0.0017058722109231984
819,MWW,0.333,82,Weighted,SBM,1.0,0.0
820,PT,0.333,82,Weighted,SBM,1.0,0.0
821,WT,0.333,82,Weighted,SBM,1.0,0.0
822,MWW,0.444,82,Weighted,SBM,1.0,0.0
823,PT,0.444,82,Weighted,SBM,1.0,0.0
824,WT,0.444,82,Weighted,SBM,1.0,0.0
825,MWW,0.556,82,Weighted,SBM,1.0,0.0
826,PT,0.556,82,Weighted,SBM,1.0,0.0
827,WT,0.556,82,Weighted,SBM,1.0,0.0
828,MWW,0.667,82,Weighted,SBM,1.0,0.0
829,PT,0.667,82,Weighted,SBM,1.0,0.0
830,WT,0.667,82,Weighted,SBM,1.0,0.0
831,MWW,0.778,82,Weighted,SBM,1.0,0.0
832,PT,0.778,82,Weighted,SBM,1.0,0.0
833,WT,0.778,82,Weighted,SBM,1.0,0.0
834,MWW,0.889,82,Weighted,SBM,1.0,0.0
835,PT,0.889,82,Weighted,SBM,1.0,0.0
836,WT,0.889,82,Weighted,SBM,1.0,0.0
837,MWW,1.0,82,Weighted,SBM,1.0,0.0
838,PT,1.0,82,Weighted,SBM,1.0,0.0
839,WT,1.0,82,Weighted,SBM,1.0,0.0
840,MWW,0.0,91,Weighted,SBM,0.07,0.0025514701644346145
841,PT,0.0,91,Weighted,SBM,0.09,0.002861817604250837
842,WT,0.0,91,Weighted,SBM,0.04,0.0019595917942265423
843,MWW,0.111,91,Weighted,SBM,0.48,0.0049959983987187175
844,PT,0.111,91,Weighted,SBM,0.38,0.004853864439804639
845,WT,0.111,91,Weighted,SBM,0.54,0.004983974317750844
846,MWW,0.222,91,Weighted,SBM,0.99,0.00099498743710662
847,PT,0.222,91,Weighted,SBM,0.89,0.003128897569432403
848,WT,0.222,91,Weighted,SBM,0.99,0.00099498743710662
849,MWW,0.333,91,Weighted,SBM,1.0,0.0
850,PT,0.333,91,Weighted,SBM,0.99,0.00099498743710662
851,WT,0.333,91,Weighted,SBM,1.0,0.0
852,MWW,0.444,91,Weighted,SBM,1.0,0.0
853,PT,0.444,91,Weighted,SBM,1.0,0.0
854,WT,0.444,91,Weighted,SBM,1.0,0.0
855,MWW,0.556,91,Weighted,SBM,1.0,0.0
856,PT,0.556,91,Weighted,SBM,1.0,0.0
857,WT,0.556,91,Weighted,SBM,1.0,0.0
858,MWW,0.667,91,Weighted,SBM,1.0,0.0
859,PT,0.667,91,Weighted,SBM,1.0,0.0
860,WT,0.667,91,Weighted,SBM,1.0,0.0
861,MWW,0.778,91,Weighted,SBM,1.0,0.0
862,PT,0.778,91,Weighted,SBM,1.0,0.0
863,WT,0.778,91,Weighted,SBM,1.0,0.0
864,MWW,0.889,91,Weighted,SBM,1.0,0.0
865,PT,0.889,91,Weighted,SBM,1.0,0.0
866,WT,0.889,91,Weighted,SBM,1.0,0.0
867,MWW,1.0,91,Weighted,SBM,1.0,0.0
868,PT,1.0,91,Weighted,SBM,1.0,0.0
869,WT,1.0,91,Weighted,SBM,1.0,0.0
870,MWW,0.0,100,Weighted,SBM,0.04,0.0019595917942265423
871,PT,0.0,100,Weighted,SBM,0.08,0.002712931993250107
872,WT,0.0,100,Weighted,SBM,0.04,0.0019595917942265423
873,MWW,0.111,100,Weighted,SBM,0.64,0.0048
874,PT,0.111,100,Weighted,SBM,0.49,0.004998999899979995
875,WT,0.111,100,Weighted,SBM,0.64,0.0048
876,MWW,0.222,100,Weighted,SBM,0.99,0.00099498743710662
877,PT,0.222,100,Weighted,SBM,0.92,0.002712931993250107
878,WT,0.222,100,Weighted,SBM,1.0,0.0
879,MWW,0.333,100,Weighted,SBM,1.0,0.0
880,PT,0.333,100,Weighted,SBM,1.0,0.0
881,WT,0.333,100,Weighted,SBM,1.0,0.0
882,MWW,0.444,100,Weighted,SBM,1.0,0.0
883,PT,0.444,100,Weighted,SBM,1.0,0.0
884,WT,0.444,100,Weighted,SBM,1.0,0.0
885,MWW,0.556,100,Weighted,SBM,1.0,0.0
886,PT,0.556,100,Weighted,SBM,1.0,0.0
887,WT,0.556,100,Weighted,SBM,1.0,0.0
888,MWW,0.667,100,Weighted,SBM,1.0,0.0
889,PT,0.667,100,Weighted,SBM,1.0,0.0
890,WT,0.667,100,Weighted,SBM,1.0,0.0
891,MWW,0.778,100,Weighted,SBM,1.0,0.0
892,PT,0.778,100,Weighted,SBM,1.0,0.0
893,WT,0.778,100,Weighted,SBM,1.0,0.0
894,MWW,0.889,100,Weighted,SBM,1.0,0.0
895,PT,0.889,100,Weighted,SBM,1.0,0.0
896,WT,0.889,100,Weighted,SBM,1.0,0.0
897,MWW,1.0,100,Weighted,SBM,1.0,0.0
898,PT,1.0,100,Weighted,SBM,1.0,0.0
899,WT,1.0,100,Weighted,SBM,1.0,0.0
1500,MWW,0.0,20,Weighted,SIEM,0.01,0.00099498743710662
1501,PT,0.0,20,Weighted,SIEM,0.04,0.0019595917942265423
1502,WT,0.0,20,Weighted,SIEM,0.03,0.0017058722109231984
1503,MWW,0.111,20,Weighted,SIEM,0.04,0.0019595917942265423
1504,PT,0.111,20,Weighted,SIEM,0.03,0.001705872210923198
1505,WT,0.111,20,Weighted,SIEM,0.04,0.0019595917942265423
1506,MWW,0.222,20,Weighted,SIEM,0.13,0.0033630343441600472
1507,PT,0.222,20,Weighted,SIEM,0.1,0.003
1508,WT,0.222,20,Weighted,SIEM,0.13,0.0033630343441600472
1509,MWW,0.333,20,Weighted,SIEM,0.1,0.0030000000000000005
1510,PT,0.333,20,Weighted,SIEM,0.09,0.0028618176042508377
1511,WT,0.333,20,Weighted,SIEM,0.12,0.0032496153618543837
1512,MWW,0.444,20,Weighted,SIEM,0.14,0.0034698703145794947
1513,PT,0.444,20,Weighted,SIEM,0.09,0.0028618176042508377
1514,WT,0.444,20,Weighted,SIEM,0.13,0.003363034344160047
1515,MWW,0.556,20,Weighted,SIEM,0.26,0.004386342439892262
1516,PT,0.556,20,Weighted,SIEM,0.2,0.004
1517,WT,0.556,20,Weighted,SIEM,0.27,0.0044395945760846225
1518,MWW,0.667,20,Weighted,SIEM,0.33,0.004702127178203498
1519,PT,0.667,20,Weighted,SIEM,0.24,0.004270831300812525
1520,WT,0.667,20,Weighted,SIEM,0.38,0.004853864439804639
1521,MWW,0.778,20,Weighted,SIEM,0.48,0.0049959983987187175
1522,PT,0.778,20,Weighted,SIEM,0.43,0.004950757517794625
1523,WT,0.778,20,Weighted,SIEM,0.47,0.004990991885387112
1524,MWW,0.889,20,Weighted,SIEM,0.58,0.004935585071701228
1525,PT,0.889,20,Weighted,SIEM,0.41,0.004918333050943175
1526,WT,0.889,20,Weighted,SIEM,0.56,0.004963869458396343
1527,MWW,1.0,20,Weighted,SIEM,0.71,0.004537620521815371
1528,PT,1.0,20,Weighted,SIEM,0.6,0.004898979485566356
